,X,CH1
0,7.21e-05,16.3
1,7.210200000000001e-05,16.1
2,7.2104e-05,16.3
3,7.2106e-05,16.3
4,7.210800000000001e-05,16.1
5,7.211e-05,16.3
6,7.2112e-05,16.3
7,7.211400000000001e-05,16.3
8,7.2116e-05,16.3
9,7.2118e-05,16.3
10,7.212000000000001e-05,16.3
11,7.2122e-05,16.1
12,7.2124e-05,16.3
13,7.212600000000001e-05,16.5
14,7.2128e-05,16.3
15,7.213e-05,16.3
16,7.2132e-05,16.3
17,7.2134e-05,16.3
18,7.2136e-05,16.3
19,7.2138e-05,16.3
20,7.214000000000001e-05,16.3
21,7.2142e-05,16.3
22,7.2144e-05,16.3
23,7.214600000000001e-05,16.3
24,7.2148e-05,16.3
25,7.215e-05,16.3
26,7.215200000000001e-05,16.3
27,7.2154e-05,16.3
28,7.2156e-05,16.3
29,7.215800000000001e-05,16.5
30,7.216e-05,16.3
31,7.2162e-05,16.3
32,7.216400000000001e-05,16.3
33,7.2166e-05,16.3
34,7.2168e-05,16.3
35,7.217000000000001e-05,16.3
36,7.2172e-05,16.3
37,7.2174e-05,16.5
38,7.217600000000001e-05,16.1
39,7.2178e-05,16.1
40,7.218e-05,16.3
41,7.218200000000001e-05,16.3
42,7.2184e-05,16.3
43,7.2186e-05,16.3
44,7.218800000000001e-05,16.3
45,7.219e-05,16.5
46,7.2192e-05,16.3
47,7.219400000000001e-05,16.3
48,7.2196e-05,16.3
49,7.2198e-05,16.3
50,7.22e-05,16.3
51,7.2202e-05,16.1
52,7.2204e-05,16.3
53,7.2206e-05,16.3
54,7.220800000000001e-05,16.3
55,7.221e-05,16.3
56,7.2212e-05,16.1
57,7.221400000000001e-05,16.3
58,7.2216e-05,16.3
59,7.2218e-05,16.1
60,7.222000000000001e-05,16.3
61,7.2222e-05,16.3
62,7.2224e-05,16.3
63,7.222600000000001e-05,16.1
64,7.2228e-05,16.1
65,7.223e-05,16.3
66,7.223200000000001e-05,16.3
67,7.2234e-05,16.3
68,7.2236e-05,16.3
69,7.223800000000001e-05,16.3
70,7.224e-05,16.3
71,7.2242e-05,16.1
72,7.224400000000001e-05,16.3
73,7.2246e-05,16.3
74,7.2248e-05,16.1
75,7.225000000000001e-05,16.3
76,7.2252e-05,16.1
77,7.2254e-05,16.3
78,7.225600000000001e-05,16.3
79,7.2258e-05,16.3
80,7.226e-05,16.3
81,7.226200000000001e-05,16.3
82,7.2264e-05,16.3
83,7.2266e-05,16.3
84,7.2268e-05,16.3
85,7.227e-05,16.5
86,7.2272e-05,16.3
87,7.2274e-05,16.3
88,7.227600000000001e-05,16.1
89,7.2278e-05,16.3
90,7.228e-05,16.1
91,7.228200000000001e-05,16.3
92,7.2284e-05,16.3
93,7.2286e-05,16.3
94,7.228800000000001e-05,16.3
95,7.229e-05,16.3
96,7.2292e-05,16.3
97,7.229400000000001e-05,16.3
98,7.2296e-05,16.3
99,7.2298e-05,16.3
100,7.230000000000001e-05,16.3
101,7.2302e-05,16.3
102,7.2304e-05,16.3
103,7.230600000000001e-05,16.3
104,7.2308e-05,16.3
105,7.231e-05,16.3
106,7.231200000000001e-05,16.3
107,7.2314e-05,16.3
108,7.2316e-05,16.3
109,7.231800000000001e-05,16.3
110,7.232e-05,16.3
111,7.2322e-05,16.3
112,7.232400000000001e-05,16.3
113,7.2326e-05,16.3
114,7.2328e-05,16.3
115,7.233000000000001e-05,16.3
116,7.2332e-05,16.3
117,7.2334e-05,16.5
118,7.2336e-05,16.3
119,7.2338e-05,16.3
120,7.234e-05,16.1
121,7.2342e-05,16.3
122,7.234400000000001e-05,16.3
123,7.2346e-05,16.3
124,7.2348e-05,16.3
125,7.235000000000001e-05,16.3
126,7.2352e-05,16.3
127,7.2354e-05,16.3
128,7.235600000000001e-05,16.3
129,7.2358e-05,16.3
130,7.236e-05,16.3
131,7.236200000000001e-05,16.3
132,7.2364e-05,16.3
133,7.2366e-05,16.5
134,7.236800000000001e-05,16.3
135,7.237e-05,16.3
136,7.2372e-05,16.1
137,7.237400000000001e-05,16.3
138,7.2376e-05,16.3
139,7.2378e-05,16.3
140,7.238000000000001e-05,16.3
141,7.2382e-05,16.3
142,7.2384e-05,16.3
143,7.238600000000001e-05,16.3
144,7.2388e-05,16.3
145,7.239e-05,16.3
146,7.239200000000001e-05,16.3
147,7.2394e-05,16.3
148,7.2396e-05,16.3
149,7.239800000000001e-05,16.5
150,7.24e-05,16.3
151,7.2402e-05,16.3
152,7.2404e-05,16.3
153,7.2406e-05,16.3
154,7.2408e-05,16.1
155,7.241e-05,16.3
156,7.241200000000001e-05,16.3
157,7.2414e-05,16.5
158,7.2416e-05,16.3
159,7.241800000000001e-05,16.3
160,7.242e-05,16.3
161,7.2422e-05,16.3
162,7.242400000000001e-05,16.3
163,7.2426e-05,16.3
164,7.2428e-05,16.3
165,7.243000000000001e-05,16.3
166,7.2432e-05,16.1
167,7.2434e-05,16.3
168,7.243600000000001e-05,16.3
169,7.2438e-05,16.3
170,7.244e-05,16.3
171,7.244200000000001e-05,16.3
172,7.2444e-05,16.3
173,7.2446e-05,16.3
174,7.244800000000001e-05,16.3
175,7.245e-05,16.1
176,7.2452e-05,16.3
177,7.245400000000001e-05,16.3
178,7.2456e-05,16.3
179,7.2458e-05,16.1
180,7.246000000000001e-05,16.3
181,7.2462e-05,16.3
182,7.2464e-05,16.3
183,7.246600000000001e-05,16.3
184,7.2468e-05,16.1
185,7.247e-05,16.3
186,7.247200000000001e-05,16.3
187,7.2474e-05,16.3
188,7.2476e-05,16.3
189,7.2478e-05,16.3
190,7.248000000000001e-05,16.3
191,7.2482e-05,16.3
192,7.2484e-05,16.3
193,7.248600000000001e-05,16.3
194,7.2488e-05,16.3
195,7.249e-05,16.3
196,7.249200000000001e-05,16.3
197,7.2494e-05,16.3
198,7.2496e-05,16.3
199,7.249800000000001e-05,16.3
200,7.25e-05,16.3
201,7.2502e-05,16.1
202,7.250400000000001e-05,16.3
203,7.2506e-05,16.3
204,7.2508e-05,16.1
205,7.251000000000001e-05,16.5
206,7.2512e-05,16.3
207,7.2514e-05,16.3
208,7.251600000000001e-05,16.3
209,7.2518e-05,16.3
210,7.252e-05,16.3
211,7.252200000000001e-05,16.3
212,7.2524e-05,16.3
213,7.2526e-05,16.5
214,7.252800000000001e-05,16.3
215,7.253e-05,16.3
216,7.2532e-05,16.3
217,7.253400000000001e-05,16.3
218,7.2536e-05,16.3
219,7.2538e-05,16.3
220,7.254000000000001e-05,16.3
221,7.2542e-05,16.3
222,7.2544e-05,16.3
223,7.2546e-05,16.3
224,7.254800000000001e-05,16.3
225,7.255e-05,16.3
226,7.2552e-05,16.1
227,7.255400000000001e-05,16.3
228,7.2556e-05,16.1
229,7.2558e-05,16.3
