,X,CH2
0,-2.598e-05,0.8
1,-2.5929999999999997e-05,0.2
2,-2.588e-05,0.2
3,-2.583e-05,0.8
4,-2.5779999999999997e-05,0.2
5,-2.573e-05,0.8
6,-2.5679999999999998e-05,0.8
7,-2.563e-05,0.0
8,-2.558e-05,0.8
9,-2.5529999999999998e-05,0.2
10,-2.548e-05,0.2
11,-2.543e-05,0.8
12,-2.5379999999999998e-05,0.8
13,-2.533e-05,0.2
14,-2.528e-05,0.2
15,-2.5229999999999997e-05,0.8
16,-2.518e-05,0.8
17,-2.5129999999999998e-05,0.0
18,-2.5079999999999997e-05,0.2
19,-2.503e-05,0.8
20,-2.4979999999999998e-05,0.8
21,-2.493e-05,0.2
22,-2.488e-05,0.2
23,-2.4829999999999998e-05,0.8
24,-2.478e-05,0.8
25,-2.473e-05,0.2
26,-2.4679999999999997e-05,0.2
27,-2.463e-05,0.8
28,-2.458e-05,0.8
29,-2.4529999999999997e-05,0.2
30,-2.448e-05,0.8
31,-2.4429999999999998e-05,0.2
32,-2.438e-05,0.2
33,-2.433e-05,0.8
34,-2.4279999999999998e-05,0.2
35,-2.423e-05,0.8
36,-2.418e-05,0.8
37,-2.4129999999999998e-05,0.2
38,-2.408e-05,0.8
39,-2.403e-05,0.2
40,-2.3979999999999997e-05,0.6
41,-2.393e-05,6.2
42,-2.388e-05,6.2
43,-2.383e-05,27.2
44,-2.378e-05,14.4
45,-2.3729999999999998e-05,22.8
46,-2.3679999999999997e-05,22.0
47,-2.363e-05,15.6
48,-2.3579999999999998e-05,20.6
49,-2.353e-05,16.2
50,-2.348e-05,16.8
51,-2.3429999999999998e-05,20.0
52,-2.338e-05,19.6
53,-2.333e-05,17.2
54,-2.3279999999999997e-05,17.4
55,-2.323e-05,19.2
56,-2.3179999999999998e-05,17.6
57,-2.3129999999999997e-05,19.0
58,-2.308e-05,18.8
59,-2.3029999999999998e-05,17.8
60,-2.298e-05,18.0
61,-2.293e-05,18.8
62,-2.2879999999999998e-05,18.0
63,-2.283e-05,18.8
64,-2.278e-05,18.6
65,-2.2729999999999998e-05,18.0
66,-2.268e-05,18.0
67,-2.263e-05,18.6
68,-2.2579999999999997e-05,18.6
69,-2.253e-05,18.0
70,-2.2479999999999998e-05,18.2
71,-2.243e-05,18.6
72,-2.238e-05,18.6
73,-2.2329999999999998e-05,18.0
