,X,CH1
0,-2.598e-05,0.076
1,-2.5929999999999997e-05,0.084
2,-2.588e-05,0.08
3,-2.583e-05,0.088
4,-2.5779999999999997e-05,0.084
5,-2.573e-05,0.092
6,-2.5679999999999998e-05,0.088
7,-2.563e-05,0.096
8,-2.558e-05,0.092
9,-2.5529999999999998e-05,0.1
10,-2.548e-05,0.092
11,-2.543e-05,0.104
12,-2.5379999999999998e-05,0.096
13,-2.533e-05,0.104
14,-2.528e-05,0.1
15,-2.5229999999999997e-05,0.108
16,-2.518e-05,0.104
17,-2.5129999999999998e-05,0.116
18,-2.5079999999999997e-05,0.108
19,-2.503e-05,0.116
20,-2.4979999999999998e-05,0.112
21,-2.493e-05,0.12
22,-2.488e-05,0.112
23,-2.4829999999999998e-05,0.124
24,-2.478e-05,0.116
25,-2.473e-05,0.124
26,-2.4679999999999997e-05,0.12
27,-2.463e-05,0.128
28,-2.458e-05,0.124
29,-2.4529999999999997e-05,0.132
30,-2.448e-05,0.124
31,-2.4429999999999998e-05,0.136
32,-2.438e-05,0.128
33,-2.433e-05,0.14
34,-2.4279999999999998e-05,0.14
35,-2.423e-05,0.132
36,-2.418e-05,0.136
37,-2.4129999999999998e-05,0.144
38,-2.408e-05,0.14
39,-2.403e-05,0.148
40,-2.3979999999999997e-05,0.14
41,-2.393e-05,0.152
42,-2.388e-05,0.144
43,-2.383e-05,0.156
44,-2.378e-05,0.148
45,-2.3729999999999998e-05,0.16
46,-2.3679999999999997e-05,0.152
47,-2.363e-05,0.16
48,-2.3579999999999998e-05,0.156
49,-2.353e-05,0.164
50,-2.348e-05,0.156
51,-2.3429999999999998e-05,0.168
52,-2.338e-05,0.168
53,-2.333e-05,0.16
54,-2.3279999999999997e-05,0.164
55,-2.323e-05,0.172
56,-2.3179999999999998e-05,0.164
57,-2.3129999999999997e-05,0.176
58,-2.308e-05,0.168
59,-2.3029999999999998e-05,0.18
60,-2.298e-05,0.172
61,-2.293e-05,0.184
62,-2.2879999999999998e-05,0.176
63,-2.283e-05,0.184
64,-2.278e-05,0.18
65,-2.2729999999999998e-05,0.188
66,-2.268e-05,0.18
67,-2.263e-05,0.192
68,-2.2579999999999997e-05,0.184
69,-2.253e-05,0.196
70,-2.2479999999999998e-05,0.184
71,-2.243e-05,0.2
72,-2.238e-05,0.2
73,-2.2329999999999998e-05,0.188
74,-2.228e-05,0.196
75,-2.223e-05,0.204
76,-2.2179999999999998e-05,0.196
77,-2.213e-05,0.208
78,-2.208e-05,0.2
79,-2.2029999999999997e-05,0.208
80,-2.198e-05,0.2
81,-2.193e-05,0.212
82,-2.188e-05,0.204
83,-2.183e-05,0.216
84,-2.1779999999999998e-05,0.208
85,-2.1729999999999997e-05,0.22
86,-2.168e-05,0.212
87,-2.1629999999999998e-05,0.224
88,-2.158e-05,0.216
89,-2.153e-05,0.224
90,-2.1479999999999998e-05,0.216
91,-2.143e-05,0.228
92,-2.138e-05,0.22
93,-2.133e-05,0.228
94,-2.128e-05,0.224
95,-2.123e-05,0.232
96,-2.1179999999999997e-05,0.224
97,-2.113e-05,0.236
98,-2.1079999999999998e-05,0.228
99,-2.103e-05,0.24
100,-2.098e-05,0.232
101,-2.0929999999999998e-05,0.244
102,-2.088e-05,0.236
103,-2.083e-05,0.244
104,-2.078e-05,0.236
105,-2.073e-05,0.248
106,-2.068e-05,0.24
107,-2.0629999999999997e-05,0.252
108,-2.058e-05,0.244
109,-2.0529999999999998e-05,0.256
110,-2.048e-05,0.244
111,-2.043e-05,0.256
112,-2.0379999999999998e-05,0.144
113,-2.0329999999999997e-05,0.252
114,-2.028e-05,0.232
115,-2.0229999999999998e-05,0.256
116,-2.018e-05,0.256
117,-2.013e-05,0.244
118,-2.0079999999999997e-05,-0.528
119,-2.003e-05,0.46
120,-1.998e-05,-0.528
121,-1.993e-05,0.42
122,-1.988e-05,0.344
123,-1.9829999999999998e-05,-0.38
124,-1.9779999999999997e-05,-0.268
125,-1.973e-05,0.236
126,-1.9679999999999998e-05,-0.204
127,-1.963e-05,0.16
128,-1.958e-05,0.124
129,-1.9529999999999998e-05,-0.136
130,-1.948e-05,-0.108
131,-1.943e-05,0.084
132,-1.938e-05,-0.076
133,-1.933e-05,0.06
134,-1.928e-05,0.044
135,-1.9229999999999997e-05,-0.052
136,-1.918e-05,-0.044
137,-1.9129999999999998e-05,0.024
138,-1.908e-05,-0.032
139,-1.903e-05,0.02
140,-1.8979999999999998e-05,0.012
141,-1.893e-05,-0.02
142,-1.888e-05,0.008
143,-1.883e-05,-0.02
144,-1.878e-05,-0.016
145,-1.873e-05,0.004
146,-1.8679999999999997e-05,0.004
147,-1.863e-05,-0.012
148,-1.8579999999999998e-05,-0.012
149,-1.853e-05,0.0
150,-1.848e-05,0.0
151,-1.8429999999999998e-05,-0.012
152,-1.8379999999999997e-05,-0.008
153,-1.833e-05,0.0
154,-1.828e-05,-0.012
155,-1.823e-05,0.0
156,-1.818e-05,-0.008
157,-1.8129999999999998e-05,0.0
158,-1.808e-05,-0.008
159,-1.803e-05,0.0
160,-1.798e-05,-0.008
161,-1.793e-05,0.0
162,-1.7879999999999998e-05,-0.008
163,-1.7829999999999997e-05,0.0
164,-1.778e-05,0.0
165,-1.773e-05,-0.012
166,-1.768e-05,-0.008
167,-1.763e-05,0.0
168,-1.7579999999999998e-05,-0.008
169,-1.7529999999999996e-05,0.0
170,-1.748e-05,-0.008
171,-1.743e-05,0.0
172,-1.738e-05,-0.008
173,-1.733e-05,0.0
174,-1.7279999999999997e-05,-0.008
175,-1.723e-05,0.0
176,-1.7179999999999998e-05,-0.008
177,-1.713e-05,0.0
178,-1.708e-05,-0.008
179,-1.7029999999999998e-05,0.0
180,-1.6979999999999997e-05,-0.008
181,-1.693e-05,0.0
182,-1.688e-05,-0.008
183,-1.683e-05,0.0
184,-1.678e-05,-0.008
185,-1.6729999999999997e-05,0.0
186,-1.668e-05,0.0
187,-1.663e-05,-0.008
188,-1.658e-05,-0.008
189,-1.653e-05,0.0
190,-1.6479999999999998e-05,-0.008
191,-1.6429999999999997e-05,0.0
192,-1.638e-05,-0.004
193,-1.633e-05,-0.008
194,-1.628e-05,-0.004
195,-1.623e-05,-0.008
196,-1.6179999999999998e-05,-0.008
197,-1.613e-05,0.0
198,-1.608e-05,-0.008
199,-1.603e-05,0.0
200,-1.598e-05,-0.008
201,-1.5929999999999998e-05,0.0
202,-1.5879999999999997e-05,-0.004
203,-1.583e-05,-0.008
204,-1.578e-05,-0.008
205,-1.573e-05,0.0
206,-1.568e-05,-0.008
207,-1.5629999999999998e-05,0.0
208,-1.558e-05,-0.008
209,-1.553e-05,0.0
210,-1.548e-05,-0.008
211,-1.543e-05,0.0
212,-1.538e-05,-0.004
213,-1.5329999999999997e-05,-0.008
214,-1.528e-05,-0.008
215,-1.523e-05,0.0
216,-1.5179999999999999e-05,-0.008
217,-1.5129999999999999e-05,-0.004
218,-1.508e-05,-0.008
219,-1.5029999999999998e-05,0.0
220,-1.4979999999999999e-05,-0.008
221,-1.493e-05,0.0
222,-1.488e-05,-0.008
223,-1.4829999999999999e-05,0.0
224,-1.4779999999999999e-05,-0.008
225,-1.473e-05,0.0
226,-1.4679999999999998e-05,-0.004
227,-1.4629999999999999e-05,-0.008
228,-1.458e-05,-0.004
229,-1.453e-05,-0.008
230,-1.4479999999999999e-05,-0.004
231,-1.4429999999999999e-05,-0.008
232,-1.438e-05,-0.008
233,-1.4329999999999998e-05,-0.004
234,-1.4279999999999999e-05,-0.008
235,-1.423e-05,-0.004
236,-1.418e-05,-0.004
237,-1.4129999999999999e-05,-0.008
238,-1.4079999999999999e-05,-0.008
239,-1.403e-05,0.0
240,-1.3979999999999998e-05,-0.004
241,-1.3929999999999999e-05,-0.008
242,-1.388e-05,-0.008
243,-1.383e-05,0.0
244,-1.3779999999999999e-05,-0.008
245,-1.3729999999999999e-05,0.0
246,-1.368e-05,-0.008
247,-1.363e-05,0.0
248,-1.3579999999999999e-05,-0.008
249,-1.353e-05,-0.004
250,-1.348e-05,-0.004
251,-1.3429999999999998e-05,-0.012
252,-1.3379999999999999e-05,-0.008
253,-1.333e-05,0.0
254,-1.328e-05,-0.008
255,-1.3229999999999999e-05,0.0
256,-1.318e-05,-0.008
257,-1.313e-05,0.0
258,-1.3079999999999998e-05,-0.008
259,-1.3029999999999999e-05,-0.004
260,-1.298e-05,-0.008
261,-1.293e-05,0.0
262,-1.2879999999999999e-05,-0.008
263,-1.2829999999999999e-05,0.0
264,-1.278e-05,-0.004
