,X,CH1,CH2
0,-2.42e-05,-0.1,-3.99e-05
1,-2.4197999999999998e-05,-0.1,-3.99e-05
2,-2.4196e-05,-0.1,-3.99e-05
3,-2.4194e-05,-0.1,-3.99e-05
4,-2.4191999999999998e-05,-0.1,-3.99e-05
5,-2.4189999999999997e-05,-0.3,-3.99e-05
6,-2.4188e-05,-0.1,-3.99e-05
7,-2.4186e-05,-0.3,-3.99e-05
8,-2.4183999999999997e-05,-0.1,-3.99e-05
9,-2.4182e-05,-0.3,-3.99e-05
10,-2.418e-05,-0.1,-3.99e-05
11,-2.4177999999999998e-05,-0.3,-3.99e-05
12,-2.4176e-05,-0.1,-3.99e-05
13,-2.4174e-05,-0.1,-3.99e-05
14,-2.4171999999999998e-05,-0.1,-3.99e-05
15,-2.4169999999999997e-05,-0.3,-3.99e-05
16,-2.4168e-05,-0.1,-3.99e-05
17,-2.4166e-05,-0.1,-3.99e-05
18,-2.4163999999999998e-05,-0.1,-3.99e-05
19,-2.4162e-05,-0.3,-3.99e-05
20,-2.416e-05,-0.1,-3.99e-05
21,-2.4157999999999998e-05,-0.1,-3.99e-05
22,-2.4155999999999997e-05,-0.1,0.2
23,-2.4154e-05,-0.3,-3.99e-05
24,-2.4152e-05,-0.1,-3.99e-05
25,-2.4149999999999997e-05,-0.1,-3.99e-05
26,-2.4148e-05,-0.1,-3.99e-05
27,-2.4146e-05,-0.3,-3.99e-05
28,-2.4143999999999998e-05,-0.1,-3.99e-05
29,-2.4142e-05,-0.3,-0.2
30,-2.414e-05,-0.1,-3.99e-05
31,-2.4137999999999998e-05,-0.3,-3.99e-05
32,-2.4135999999999997e-05,-0.1,-3.99e-05
33,-2.4134e-05,-0.1,-3.99e-05
34,-2.4132e-05,-0.1,-3.99e-05
35,-2.4129999999999998e-05,-0.3,-3.99e-05
36,-2.4128e-05,-0.1,-3.99e-05
37,-2.4126e-05,-0.1,-3.99e-05
38,-2.4123999999999998e-05,-0.1,-3.99e-05
39,-2.4121999999999997e-05,-0.3,-3.99e-05
40,-2.412e-05,-0.1,-0.2
41,-2.4118e-05,-0.1,-3.99e-05
42,-2.4115999999999997e-05,-0.1,-3.99e-05
43,-2.4114e-05,-0.3,0.2
44,-2.4112e-05,-0.1,-3.99e-05
45,-2.4109999999999998e-05,-0.3,-3.99e-05
46,-2.4108e-05,-0.1,-3.99e-05
47,-2.4106e-05,-0.3,-3.99e-05
48,-2.4103999999999998e-05,-0.1,-0.2
49,-2.4101999999999997e-05,-0.3,-3.99e-05
50,-2.41e-05,-0.1,-3.99e-05
51,-2.4098e-05,-0.3,-3.99e-05
52,-2.4095999999999998e-05,-0.3,-3.99e-05
53,-2.4094e-05,-0.1,-3.99e-05
54,-2.4092e-05,-0.1,-3.99e-05
55,-2.4089999999999998e-05,-0.3,-3.99e-05
56,-2.4087999999999997e-05,-0.1,-3.99e-05
57,-2.4086e-05,-0.3,-3.99e-05
58,-2.4084e-05,-0.1,-3.99e-05
59,-2.4081999999999997e-05,-0.3,-3.99e-05
60,-2.408e-05,-0.1,-3.99e-05
61,-2.4078e-05,-0.1,-3.99e-05
62,-2.4075999999999998e-05,-0.1,-3.99e-05
63,-2.4074e-05,-0.3,-3.99e-05
64,-2.4072e-05,-0.3,-3.99e-05
65,-2.4069999999999998e-05,-0.3,-3.99e-05
66,-2.4067999999999997e-05,-0.1,-3.99e-05
67,-2.4066e-05,-0.3,-3.99e-05
68,-2.4064e-05,-0.1,-3.99e-05
69,-2.4061999999999998e-05,-0.1,-3.99e-05
70,-2.406e-05,-0.1,-3.99e-05
71,-2.4058e-05,-0.3,-3.99e-05
72,-2.4055999999999998e-05,-0.1,-0.2
73,-2.4053999999999997e-05,-0.1,-3.99e-05
74,-2.4052e-05,-0.1,-3.99e-05
75,-2.405e-05,-0.3,0.2
76,-2.4047999999999997e-05,-0.1,-3.99e-05
77,-2.4046e-05,-0.3,-0.2
78,-2.4044e-05,-0.1,0.2
79,-2.4041999999999998e-05,-0.3,-3.99e-05
80,-2.404e-05,-0.1,-3.99e-05
81,-2.4038e-05,-0.1,-3.99e-05
82,-2.4035999999999998e-05,-0.1,-3.99e-05
83,-2.4033999999999997e-05,-0.3,-3.99e-05
84,-2.4032e-05,-0.1,-3.99e-05
85,-2.403e-05,-0.1,-3.99e-05
86,-2.4027999999999998e-05,-0.1,0.2
87,-2.4026e-05,-0.3,-3.99e-05
88,-2.4024e-05,-0.1,-3.99e-05
89,-2.4021999999999998e-05,-0.1,-3.99e-05
90,-2.4019999999999997e-05,-0.1,-3.99e-05
91,-2.4018e-05,-0.3,-3.99e-05
92,-2.4016e-05,-0.1,-3.99e-05
93,-2.4013999999999997e-05,-0.1,-3.99e-05
94,-2.4012e-05,-0.1,-3.99e-05
95,-2.401e-05,-0.3,-3.99e-05
96,-2.4007999999999998e-05,-0.1,-3.99e-05
97,-2.4006e-05,-0.3,-3.99e-05
98,-2.4004e-05,-0.1,-3.99e-05
99,-2.4001999999999998e-05,-0.3,-3.99e-05
100,-2.3999999999999997e-05,-0.1,-3.99e-05
101,-2.3998e-05,-0.3,-3.99e-05
102,-2.3996e-05,-0.1,-3.99e-05
103,-2.3993999999999998e-05,-0.3,-3.99e-05
104,-2.3992e-05,-0.3,-3.99e-05
105,-2.399e-05,-0.1,-3.99e-05
106,-2.3987999999999998e-05,-0.1,-3.99e-05
107,-2.3985999999999997e-05,-0.3,-3.99e-05
108,-2.3984e-05,-0.1,-3.99e-05
109,-2.3982e-05,-0.3,-3.99e-05
110,-2.3979999999999997e-05,-0.1,-3.99e-05
111,-2.3978e-05,-0.3,-3.99e-05
112,-2.3976e-05,-0.1,-3.99e-05
113,-2.3973999999999998e-05,-0.1,-3.99e-05
114,-2.3972e-05,-0.1,-3.99e-05
115,-2.397e-05,-0.3,0.2
116,-2.3967999999999998e-05,-0.1,-3.99e-05
117,-2.3965999999999997e-05,-0.1,-3.99e-05
118,-2.3964e-05,-0.1,0.2
119,-2.3962e-05,-0.3,-3.99e-05
120,-2.3959999999999998e-05,-0.1,-3.99e-05
121,-2.3958e-05,-0.3,-3.99e-05
122,-2.3956e-05,-0.3,-3.99e-05
123,-2.3953999999999998e-05,-0.1,0.2
124,-2.3951999999999997e-05,-0.3,-3.99e-05
125,-2.395e-05,-0.1,-3.99e-05
126,-2.3948e-05,-0.1,-3.99e-05
127,-2.3945999999999997e-05,-0.3,-3.99e-05
128,-2.3944e-05,-0.1,-3.99e-05
129,-2.3942e-05,-0.1,-3.99e-05
130,-2.3939999999999998e-05,-0.1,-3.99e-05
