,X,CH2
0,-3.72e-05,-0.6
1,-3.715e-05,0.0
2,-3.71e-05,-0.6
3,-3.7050000000000006e-05,0.0
4,-3.7000000000000005e-05,-0.4
5,-3.6950000000000004e-05,0.2
6,-3.69e-05,0.4
7,-3.685e-05,-0.2
8,-3.68e-05,0.4
9,-3.6750000000000006e-05,0.0
10,-3.6700000000000004e-05,0.4
11,-3.665e-05,0.0
12,-3.66e-05,0.4
13,-3.655e-05,-0.2
14,-3.6500000000000006e-05,0.2
15,-3.6450000000000005e-05,-0.4
16,-3.6400000000000004e-05,0.0
17,-3.635e-05,-0.4
18,-3.63e-05,0.0
19,-3.625e-05,-0.6
20,-3.6200000000000006e-05,-0.4
21,-3.6150000000000005e-05,0.0
22,-3.61e-05,-0.4
23,-3.605e-05,0.2
24,-3.6e-05,-0.2
25,-3.5950000000000006e-05,0.4
26,-3.5900000000000005e-05,0.0
27,-3.5850000000000004e-05,0.4
28,-3.58e-05,0.4
29,-3.575e-05,0.0
30,-3.57e-05,0.4
31,-3.5650000000000006e-05,-0.2
32,-3.5600000000000005e-05,0.2
33,-3.5550000000000004e-05,-0.4
34,-3.55e-05,0.2
35,-3.545e-05,-0.4
36,-3.54e-05,0.0
37,-3.5350000000000005e-05,-0.4
38,-3.5300000000000004e-05,0.0
39,-3.525e-05,-0.6
40,-3.52e-05,-0.4
41,-3.515e-05,0.2
42,-3.5100000000000006e-05,-0.2
43,-3.5050000000000005e-05,0.4
44,-3.5000000000000004e-05,-0.2
45,-3.495e-05,0.4
46,-3.49e-05,0.4
47,-3.485e-05,0.0
48,-3.4800000000000006e-05,0.4
49,-3.4750000000000004e-05,-0.2
50,-3.47e-05,0.2
51,-3.465e-05,-0.2
52,-3.46e-05,0.2
53,-3.455e-05,-0.4
54,-3.4500000000000005e-05,0.2
55,-3.4450000000000004e-05,-0.4
56,-3.44e-05,-0.4
57,-3.435e-05,0.0
58,-3.43e-05,-0.4
59,-3.4250000000000006e-05,0.2
60,-3.4200000000000005e-05,-0.4
61,-3.415e-05,0.2
62,-3.41e-05,-0.2
63,-3.405e-05,0.4
64,-3.4e-05,0.0
65,-3.3950000000000005e-05,0.4
66,-3.3900000000000004e-05,0.4
67,-3.385e-05,0.0
68,-3.38e-05,-0.2
69,-3.375e-05,0.4
70,-3.3700000000000006e-05,-0.2
71,-3.3650000000000005e-05,0.4
72,-3.3600000000000004e-05,-0.4
73,-3.355e-05,0.2
74,-3.35e-05,0.2
75,-3.345e-05,-0.4
76,-3.3400000000000005e-05,-0.4
77,-3.3350000000000004e-05,0.2
78,-3.33e-05,-0.4
79,-3.325e-05,0.2
80,-3.32e-05,-0.2
81,-3.3150000000000006e-05,0.4
82,-3.3100000000000005e-05,-0.2
83,-3.3050000000000004e-05,4.2
84,-3.3e-05,4.6
85,-3.295e-05,8.0
86,-3.29e-05,8.4
87,-3.2850000000000006e-05,12.2
88,-3.2800000000000004e-05,12.2
89,-3.275e-05,14.6
90,-3.27e-05,14.4
91,-3.265e-05,16.2
92,-3.2600000000000006e-05,16.0
93,-3.2550000000000005e-05,16.8
94,-3.2500000000000004e-05,16.8
95,-3.245e-05,17.6
96,-3.24e-05,17.2
97,-3.235e-05,17.8
98,-3.2300000000000006e-05,17.4
99,-3.2250000000000005e-05,18.0
100,-3.2200000000000003e-05,17.6
101,-3.215e-05,18.0
102,-3.21e-05,18.0
103,-3.2050000000000007e-05,17.6
104,-3.2000000000000005e-05,18.0
105,-3.1950000000000004e-05,17.6
106,-3.19e-05,17.6
107,-3.185e-05,18.2
108,-3.18e-05,18.2
109,-3.1750000000000006e-05,17.6
110,-3.1700000000000005e-05,17.6
111,-3.1650000000000004e-05,18.2
112,-3.16e-05,18.0
113,-3.155e-05,17.8
114,-3.150000000000001e-05,17.8
115,-3.1450000000000006e-05,18.2
116,-3.1400000000000004e-05,18.2
117,-3.135e-05,17.6
118,-3.13e-05,18.0
119,-3.125e-05,17.8
120,-3.12e-05,18.0
121,-3.1150000000000005e-05,17.6
122,-3.1100000000000004e-05,18.0
123,-3.105e-05,17.8
124,-3.1e-05,17.8
125,-3.095000000000001e-05,18.2
126,-3.0900000000000006e-05,18.0
127,-3.0850000000000004e-05,17.6
128,-3.08e-05,18.2
129,-3.075e-05,17.6
130,-3.07e-05,17.6
131,-3.065e-05,18.2
132,-3.0600000000000005e-05,18.2
133,-3.0550000000000004e-05,17.6
134,-3.0500000000000003e-05,17.8
135,-3.045e-05,18.2
136,-3.0400000000000004e-05,17.6
137,-3.0350000000000002e-05,18.2
138,-3.0300000000000005e-05,17.8
139,-3.0250000000000003e-05,18.2
140,-3.0200000000000002e-05,18.2
141,-3.0150000000000004e-05,17.6
142,-3.0100000000000003e-05,17.8
143,-3.0050000000000005e-05,18.2
144,-3.0000000000000004e-05,17.6
145,-2.9950000000000003e-05,18.2
146,-2.9900000000000002e-05,17.8
147,-2.9850000000000004e-05,18.2
148,-2.9800000000000003e-05,17.8
149,-2.9750000000000005e-05,18.2
150,-2.9700000000000004e-05,17.8
151,-2.9650000000000002e-05,18.2
152,-2.96e-05,18.2
153,-2.9550000000000003e-05,17.8
154,-2.9500000000000006e-05,17.8
155,-2.9450000000000004e-05,18.2
156,-2.9400000000000003e-05,17.8
157,-2.9350000000000002e-05,18.2
158,-2.9300000000000004e-05,18.2
159,-2.9250000000000003e-05,17.8
160,-2.9200000000000005e-05,17.8
161,-2.9150000000000004e-05,18.2
162,-2.9100000000000003e-05,17.8
163,-2.905e-05,18.2
164,-2.9000000000000004e-05,18.2
165,-2.8950000000000006e-05,17.6
166,-2.8900000000000005e-05,17.6
167,-2.8850000000000003e-05,18.2
168,-2.8800000000000002e-05,17.8
169,-2.875e-05,18.2
170,-2.8700000000000003e-05,17.8
171,-2.8650000000000005e-05,18.2
172,-2.8600000000000004e-05,17.8
173,-2.8550000000000003e-05,18.2
174,-2.85e-05,17.8
175,-2.8450000000000004e-05,18.2
176,-2.8400000000000003e-05,17.8
177,-2.8350000000000005e-05,18.2
178,-2.8300000000000003e-05,18.2
179,-2.8250000000000002e-05,17.8
180,-2.82e-05,17.8
181,-2.8150000000000003e-05,18.2
182,-2.8100000000000005e-05,17.8
183,-2.8050000000000004e-05,18.2
184,-2.8000000000000003e-05,17.8
185,-2.7950000000000002e-05,18.2
186,-2.7900000000000004e-05,18.2
187,-2.7850000000000003e-05,17.8
188,-2.7800000000000005e-05,18.2
189,-2.7750000000000004e-05,17.8
190,-2.7700000000000002e-05,17.8
191,-2.765e-05,18.2
192,-2.7600000000000003e-05,17.8
193,-2.7550000000000006e-05,18.2
194,-2.7500000000000004e-05,17.8
195,-2.7450000000000003e-05,18.2
196,-2.7400000000000002e-05,17.8
197,-2.7350000000000004e-05,18.2
198,-2.7300000000000003e-05,17.8
199,-2.7250000000000005e-05,18.2
200,-2.7200000000000004e-05,18.2
201,-2.7150000000000003e-05,17.8
202,-2.71e-05,18.2
203,-2.7050000000000004e-05,17.6
204,-2.7000000000000006e-05,18.2
205,-2.6950000000000005e-05,17.8
206,-2.6900000000000003e-05,18.2
207,-2.6850000000000002e-05,17.8
208,-2.6800000000000004e-05,17.8
209,-2.6750000000000003e-05,18.2
210,-2.6700000000000005e-05,17.8
211,-2.6650000000000004e-05,18.2
212,-2.6600000000000003e-05,17.8
213,-2.655e-05,18.2
214,-2.6500000000000004e-05,17.8
215,-2.6450000000000006e-05,18.2
216,-2.6400000000000005e-05,17.8
217,-2.6350000000000004e-05,18.2
218,-2.6300000000000002e-05,17.8
219,-2.625e-05,18.2
220,-2.6200000000000003e-05,17.8
221,-2.6150000000000005e-05,18.2
222,-2.6100000000000004e-05,17.8
223,-2.6050000000000003e-05,18.2
224,-2.6000000000000002e-05,17.8
225,-2.5950000000000004e-05,18.2
226,-2.5900000000000003e-05,17.8
227,-2.5850000000000005e-05,18.2
228,-2.5800000000000004e-05,17.8
229,-2.5750000000000002e-05,18.2
230,-2.57e-05,17.8
231,-2.5650000000000003e-05,18.2
232,-2.5600000000000006e-05,17.8
233,-2.5550000000000004e-05,18.2
234,-2.5500000000000003e-05,17.8
235,-2.5450000000000002e-05,18.2
236,-2.5400000000000004e-05,17.8
237,-2.5350000000000003e-05,18.2
238,-2.5300000000000005e-05,17.8
239,-2.5250000000000004e-05,18.2
240,-2.5200000000000003e-05,18.2
241,-2.515e-05,12.8
242,-2.5100000000000004e-05,12.6
243,-2.5050000000000006e-05,7.8
244,-2.5000000000000005e-05,7.6
245,-2.4950000000000003e-05,6.0
246,-2.4900000000000002e-05,6.4
247,-2.4850000000000004e-05,3.0
248,-2.4800000000000003e-05,5.0
249,-2.4750000000000005e-05,0.6
250,-2.4700000000000004e-05,2.2
251,-2.4650000000000003e-05,0.2
252,-2.46e-05,0.0
253,-2.4550000000000004e-05,1.4
254,-2.4500000000000006e-05,1.2
255,-2.4450000000000005e-05,-0.2
256,-2.4400000000000004e-05,-0.2
257,-2.4350000000000002e-05,0.8
258,-2.43e-05,-0.2
259,-2.4250000000000003e-05,0.6
260,-2.4200000000000005e-05,-0.2
261,-2.4150000000000004e-05,0.6
262,-2.4100000000000003e-05,0.0
263,-2.4050000000000002e-05,0.6
264,-2.4000000000000004e-05,0.4
265,-2.3950000000000003e-05,0.0
266,-2.3900000000000005e-05,0.6
267,-2.3850000000000004e-05,0.0
268,-2.3800000000000003e-05,0.4
269,-2.375e-05,0.0
270,-2.3700000000000003e-05,0.6
271,-2.3650000000000006e-05,0.0
272,-2.3600000000000004e-05,0.0
273,-2.3550000000000003e-05,0.4
274,-2.3500000000000002e-05,0.4
275,-2.3450000000000004e-05,0.0
276,-2.3400000000000003e-05,0.4
277,-2.3350000000000005e-05,-0.2
278,-2.3300000000000004e-05,0.0
279,-2.3250000000000003e-05,0.6
280,-2.32e-05,0.4
281,-2.3150000000000004e-05,-0.2
282,-2.3100000000000006e-05,0.4
283,-2.3050000000000005e-05,-0.2
284,-2.3000000000000003e-05,0.4
285,-2.2950000000000002e-05,-0.2
286,-2.2900000000000004e-05,0.4
287,-2.2850000000000003e-05,0.0
288,-2.2800000000000005e-05,0.4
289,-2.2750000000000004e-05,-0.2
290,-2.2700000000000003e-05,0.4
291,-2.265e-05,-0.2
292,-2.2600000000000004e-05,-0.2
293,-2.2550000000000006e-05,0.4
294,-2.2500000000000005e-05,0.4
295,-2.2450000000000004e-05,-0.2
296,-2.2400000000000002e-05,-0.2
297,-2.235e-05,0.4
298,-2.2300000000000003e-05,0.4
299,-2.2250000000000006e-05,-0.2
300,-2.2200000000000004e-05,0.4
301,-2.2150000000000003e-05,-0.2
302,-2.2100000000000002e-05,0.4
303,-2.2050000000000004e-05,-0.2
304,-2.2000000000000003e-05,-0.2
305,-2.1950000000000005e-05,0.4
306,-2.1900000000000004e-05,-0.2
307,-2.1850000000000003e-05,0.4
308,-2.1800000000000005e-05,-0.2
309,-2.1750000000000004e-05,0.4
310,-2.1700000000000002e-05,0.4
311,-2.1650000000000004e-05,-0.2
312,-2.1600000000000003e-05,-0.2
313,-2.1550000000000002e-05,0.2
314,-2.1500000000000004e-05,0.4
315,-2.1450000000000003e-05,-0.2
316,-2.1400000000000005e-05,-0.2
317,-2.1350000000000004e-05,0.4
318,-2.1300000000000003e-05,0.4
319,-2.1250000000000005e-05,-0.2
320,-2.1200000000000004e-05,0.4
321,-2.1150000000000002e-05,-0.4
322,-2.1100000000000005e-05,0.4
323,-2.1050000000000003e-05,-0.2
324,-2.1000000000000002e-05,-0.2
325,-2.0950000000000004e-05,0.4
326,-2.0900000000000003e-05,-0.2
327,-2.0850000000000005e-05,0.4
328,-2.0800000000000004e-05,-0.2
329,-2.0750000000000003e-05,0.4
330,-2.0700000000000005e-05,-0.2
331,-2.0650000000000004e-05,0.4
332,-2.0600000000000003e-05,-0.2
333,-2.0550000000000005e-05,0.4
334,-2.0500000000000004e-05,-0.2
335,-2.0450000000000002e-05,0.4
336,-2.0400000000000005e-05,-0.2
337,-2.0350000000000003e-05,0.2
338,-2.0300000000000002e-05,0.2
339,-2.0250000000000004e-05,-0.2
340,-2.0200000000000003e-05,-0.2
341,-2.0150000000000005e-05,0.2
342,-2.0100000000000004e-05,0.4
343,-2.0050000000000003e-05,-0.2
344,-2.0000000000000005e-05,-0.2
345,-1.9950000000000004e-05,0.2
346,-1.9900000000000003e-05,-0.2
347,-1.9850000000000005e-05,0.2
348,-1.9800000000000004e-05,-0.2
349,-1.9750000000000002e-05,0.2
350,-1.9700000000000005e-05,-0.2
351,-1.9650000000000003e-05,0.4
352,-1.9600000000000002e-05,-0.2
353,-1.9550000000000004e-05,0.2
354,-1.9500000000000003e-05,-0.2
355,-1.9450000000000005e-05,0.4
356,-1.9400000000000004e-05,-0.2
357,-1.9350000000000003e-05,0.2
358,-1.9300000000000005e-05,-0.2
359,-1.9250000000000004e-05,0.4
360,-1.9200000000000003e-05,0.2
361,-1.9150000000000005e-05,-0.2
362,-1.9100000000000003e-05,0.2
363,-1.9050000000000002e-05,-0.2
364,-1.9000000000000004e-05,0.2
365,-1.8950000000000003e-05,-0.2
366,-1.8900000000000005e-05,0.2
367,-1.8850000000000004e-05,-0.2
368,-1.8800000000000003e-05,-0.2
369,-1.8750000000000005e-05,0.2
370,-1.8700000000000004e-05,0.2
371,-1.8650000000000003e-05,-0.2
372,-1.8600000000000005e-05,-0.2
373,-1.8550000000000004e-05,0.2
374,-1.8500000000000002e-05,-0.2
375,-1.8450000000000005e-05,0.2
376,-1.8400000000000003e-05,-0.2
377,-1.8350000000000002e-05,0.2
378,-1.8300000000000004e-05,0.2
379,-1.8250000000000003e-05,-0.4
380,-1.8200000000000005e-05,-0.2
381,-1.8150000000000004e-05,0.2
382,-1.8100000000000003e-05,0.4
383,-1.8050000000000005e-05,-0.2
384,-1.8000000000000004e-05,-0.2
385,-1.7950000000000003e-05,0.2
386,-1.7900000000000005e-05,0.2
387,-1.7850000000000004e-05,-0.2
388,-1.7800000000000002e-05,0.2
389,-1.7750000000000005e-05,-0.2
390,-1.7700000000000003e-05,-0.2
391,-1.7650000000000006e-05,0.4
392,-1.7600000000000004e-05,-0.2
393,-1.7550000000000003e-05,0.2
394,-1.7500000000000005e-05,0.2
395,-1.7450000000000004e-05,-0.4
396,-1.7400000000000003e-05,-0.4
397,-1.7350000000000005e-05,0.2
398,-1.7300000000000004e-05,0.2
399,-1.7250000000000003e-05,-0.6
400,-1.7200000000000005e-05,-0.6
401,-1.7150000000000004e-05,0.0
402,-1.7100000000000002e-05,0.0
403,-1.7050000000000004e-05,-0.6
404,-1.7000000000000003e-05,-0.4
405,-1.6950000000000005e-05,0.2
406,-1.6900000000000004e-05,0.4
407,-1.6850000000000003e-05,-0.2
408,-1.6800000000000005e-05,0.0
409,-1.6750000000000004e-05,0.6
410,-1.6700000000000003e-05,0.4
411,-1.6650000000000005e-05,0.0
412,-1.6600000000000004e-05,0.4
413,-1.6550000000000002e-05,-0.2
414,-1.6500000000000005e-05,0.4
415,-1.6450000000000003e-05,-0.2
416,-1.6400000000000006e-05,0.2
417,-1.6350000000000004e-05,-0.4
418,-1.6300000000000003e-05,0.0
419,-1.6250000000000005e-05,-0.6
420,-1.6200000000000004e-05,-0.4
421,-1.6150000000000003e-05,0.2
422,-1.6100000000000005e-05,-0.4
423,-1.6050000000000004e-05,0.2
424,-1.6000000000000003e-05,-0.2
425,-1.5950000000000005e-05,0.4
426,-1.5900000000000004e-05,0.0
427,-1.5850000000000002e-05,0.6
428,-1.5800000000000005e-05,0.4
429,-1.5750000000000003e-05,0.0
430,-1.5700000000000006e-05,0.0
431,-1.5650000000000004e-05,0.6
432,-1.5600000000000003e-05,0.2
433,-1.5550000000000005e-05,-0.4
434,-1.5500000000000004e-05,0.2
435,-1.5450000000000003e-05,-0.4
436,-1.5400000000000005e-05,-0.4
437,-1.5350000000000004e-05,0.2
438,-1.5300000000000003e-05,-0.6
439,-1.5250000000000005e-05,0.2
440,-1.5200000000000004e-05,-0.4
441,-1.5150000000000002e-05,0.2
442,-1.5100000000000005e-05,-0.2
443,-1.5050000000000003e-05,0.4
444,-1.5000000000000005e-05,0.0
445,-1.4950000000000004e-05,0.4
446,-1.4900000000000003e-05,0.6
447,-1.4850000000000005e-05,0.0
448,-1.4800000000000004e-05,0.4
449,-1.4750000000000003e-05,0.0
450,-1.4700000000000005e-05,0.4
451,-1.4650000000000004e-05,-0.2
452,-1.4600000000000003e-05,0.2
453,-1.4550000000000005e-05,-0.4
454,-1.4500000000000003e-05,0.2
455,-1.4450000000000006e-05,-0.4
456,-1.4400000000000004e-05,0.0
457,-1.4350000000000003e-05,-0.4
458,-1.4300000000000005e-05,-0.4
459,-1.4250000000000004e-05,0.2
460,-1.4200000000000003e-05,0.2
461,-1.4150000000000005e-05,-0.4
462,-1.4100000000000004e-05,0.4
463,-1.4050000000000003e-05,-0.2
464,-1.4000000000000005e-05,0.0
465,-1.3950000000000004e-05,0.4
466,-1.3900000000000002e-05,0.4
467,-1.3850000000000005e-05,0.0
468,-1.3800000000000003e-05,0.4
469,-1.3750000000000006e-05,-0.2
470,-1.3700000000000004e-05,0.4
471,-1.3650000000000003e-05,-0.2
472,-1.3600000000000005e-05,0.2
473,-1.3550000000000004e-05,-0.4
474,-1.3500000000000003e-05,0.2
475,-1.3450000000000005e-05,-0.4
476,-1.3400000000000004e-05,-0.4
477,-1.3350000000000003e-05,0.2
478,-1.3300000000000005e-05,0.2
479,-1.3250000000000004e-05,-0.4
480,-1.3200000000000002e-05,-0.2
481,-1.3150000000000005e-05,0.4
482,-1.3100000000000003e-05,0.0
483,-1.3050000000000005e-05,4.4
484,-1.3000000000000004e-05,4.2
485,-1.2950000000000003e-05,7.8
486,-1.2900000000000005e-05,8.0
487,-1.2850000000000004e-05,12.2
488,-1.2800000000000003e-05,12.0
489,-1.2750000000000005e-05,14.8
490,-1.2700000000000004e-05,14.6
491,-1.2650000000000003e-05,16.2
492,-1.2600000000000005e-05,16.0
493,-1.2550000000000004e-05,17.0
494,-1.2500000000000006e-05,16.8
495,-1.2450000000000004e-05,17.6
496,-1.2400000000000003e-05,17.2
497,-1.2350000000000005e-05,17.8
498,-1.2300000000000004e-05,17.4
499,-1.2250000000000003e-05,18.0
500,-1.2200000000000005e-05,17.6
501,-1.2150000000000004e-05,18.0
502,-1.2100000000000003e-05,17.6
503,-1.2050000000000005e-05,18.0
504,-1.2000000000000004e-05,18.0
505,-1.1950000000000002e-05,17.6
506,-1.1900000000000005e-05,17.8
507,-1.1850000000000003e-05,18.2
508,-1.1800000000000006e-05,18.2
509,-1.1750000000000004e-05,17.6
510,-1.1700000000000003e-05,18.2
511,-1.1650000000000005e-05,17.6
512,-1.1600000000000004e-05,17.8
513,-1.1550000000000003e-05,18.2
514,-1.1500000000000005e-05,17.6
515,-1.1450000000000004e-05,18.2
516,-1.1400000000000003e-05,17.8
517,-1.1350000000000005e-05,18.2
518,-1.1300000000000004e-05,17.8
519,-1.1250000000000006e-05,18.2
520,-1.1200000000000005e-05,17.8
521,-1.1150000000000003e-05,18.2
522,-1.1100000000000006e-05,17.8
523,-1.1050000000000004e-05,18.2
524,-1.1000000000000003e-05,18.2
525,-1.0950000000000005e-05,17.6
526,-1.0900000000000004e-05,17.8
527,-1.0850000000000003e-05,18.2
528,-1.0800000000000005e-05,17.8
529,-1.0750000000000004e-05,18.2
530,-1.0700000000000003e-05,18.2
531,-1.0650000000000005e-05,17.8
532,-1.0600000000000004e-05,18.2
533,-1.0550000000000006e-05,17.6
534,-1.0500000000000005e-05,18.2
535,-1.0450000000000003e-05,17.8
536,-1.0400000000000005e-05,17.8
537,-1.0350000000000004e-05,18.2
538,-1.0300000000000003e-05,17.8
539,-1.0250000000000005e-05,18.2
540,-1.0200000000000004e-05,17.8
541,-1.0150000000000003e-05,18.2
542,-1.0100000000000005e-05,17.8
543,-1.0050000000000004e-05,18.2
544,-1.0000000000000006e-05,17.8
545,-9.950000000000005e-06,18.2
546,-9.900000000000003e-06,17.8
547,-9.850000000000006e-06,18.2
548,-9.800000000000004e-06,17.8
549,-9.750000000000003e-06,18.2
550,-9.700000000000005e-06,17.8
551,-9.650000000000004e-06,18.2
552,-9.600000000000003e-06,17.8
553,-9.550000000000005e-06,18.2
554,-9.500000000000004e-06,18.2
555,-9.450000000000003e-06,17.8
556,-9.400000000000005e-06,17.8
557,-9.350000000000004e-06,18.2
558,-9.300000000000006e-06,17.8
559,-9.250000000000005e-06,18.2
560,-9.200000000000003e-06,17.8
561,-9.150000000000006e-06,18.2
562,-9.100000000000004e-06,17.8
563,-9.050000000000003e-06,18.2
564,-9.000000000000005e-06,18.2
565,-8.950000000000004e-06,17.8
566,-8.900000000000003e-06,18.2
567,-8.850000000000005e-06,17.8
568,-8.800000000000004e-06,17.8
569,-8.750000000000003e-06,18.2
570,-8.700000000000005e-06,17.8
571,-8.650000000000004e-06,18.2
572,-8.600000000000006e-06,17.8
573,-8.550000000000005e-06,18.2
574,-8.500000000000003e-06,17.8
575,-8.450000000000005e-06,18.2
576,-8.400000000000004e-06,17.8
577,-8.350000000000003e-06,18.2
578,-8.300000000000005e-06,18.2
579,-8.250000000000004e-06,17.6
580,-8.200000000000003e-06,17.8
581,-8.150000000000005e-06,18.2
582,-8.100000000000004e-06,17.8
583,-8.050000000000006e-06,18.2
584,-8.000000000000005e-06,17.8
585,-7.950000000000004e-06,18.2
586,-7.900000000000006e-06,17.8
587,-7.850000000000004e-06,18.2
588,-7.800000000000003e-06,17.8
