,X,CH1,CH2
0,-3e-05,-0.006,18.2
1,-2.9998e-05,-0.004,18.2
2,-2.9996000000000002e-05,-0.004,18.2
3,-2.9994e-05,-0.002,18.0
4,-2.9992e-05,-0.004,18.2
5,-2.999e-05,-0.006,18.0
6,-2.9988e-05,-0.004,18.2
7,-2.9986e-05,-0.004,18.2
8,-2.9984e-05,-0.004,18.2
9,-2.9982000000000002e-05,-0.004,18.2
10,-2.998e-05,-0.004,18.2
11,-2.9978e-05,-0.004,18.0
12,-2.9976000000000002e-05,-0.002,18.2
13,-2.9974e-05,-0.002,18.0
14,-2.9972e-05,-0.004,18.2
15,-2.997e-05,-0.004,18.2
16,-2.9968000000000002e-05,-0.004,18.2
17,-2.9966e-05,-0.002,18.2
18,-2.9964e-05,-0.006,18.2
19,-2.9962000000000002e-05,-0.004,18.2
20,-2.996e-05,-0.004,18.0
21,-2.9958e-05,-0.004,18.0
22,-2.9956e-05,-0.004,18.2
23,-2.9954e-05,-0.004,18.0
24,-2.9952e-05,-0.006,18.2
25,-2.995e-05,-0.002,18.2
26,-2.9948000000000002e-05,-0.004,18.2
27,-2.9946e-05,-0.004,18.0
28,-2.9944e-05,-0.004,18.2
29,-2.9942000000000002e-05,-0.004,18.0
30,-2.994e-05,-0.004,18.0
31,-2.9938e-05,-0.004,18.0
32,-2.9936e-05,-0.004,18.2
33,-2.9934000000000002e-05,-0.002,18.0
34,-2.9932e-05,-0.004,18.2
35,-2.993e-05,-0.004,18.0
36,-2.9928000000000002e-05,-0.004,18.2
37,-2.9926e-05,-0.004,18.0
38,-2.9924e-05,-0.006,18.2
39,-2.9922e-05,-0.004,18.0
40,-2.992e-05,-0.004,18.2
41,-2.9918e-05,-0.004,18.0
42,-2.9916e-05,-0.006,18.0
43,-2.9914000000000002e-05,-0.004,18.0
44,-2.9912e-05,-0.004,18.2
45,-2.991e-05,-0.004,18.0
46,-2.9908000000000002e-05,-0.006,18.2
47,-2.9906e-05,-0.004,18.0
48,-2.9904e-05,-0.004,18.0
49,-2.9902e-05,-0.004,18.0
50,-2.9900000000000002e-05,-0.004,18.2
51,-2.9898e-05,-0.002,18.0
52,-2.9896e-05,-0.004,18.0
53,-2.9894000000000002e-05,-0.006,18.0
54,-2.9892e-05,-0.006,18.0
55,-2.989e-05,-0.004,18.0
56,-2.9888e-05,-0.006,18.0
57,-2.9886e-05,-0.004,18.0
58,-2.9884e-05,-0.006,18.0
59,-2.9882e-05,-0.006,18.0
60,-2.9880000000000002e-05,-0.004,18.0
61,-2.9878e-05,-0.004,18.0
62,-2.9876e-05,-0.004,18.0
63,-2.9874000000000002e-05,-0.004,17.6
64,-2.9872e-05,-0.006,18.0
65,-2.987e-05,-0.002,17.6
66,-2.9868e-05,-0.004,18.0
67,-2.9866000000000002e-05,-0.004,17.6
68,-2.9864e-05,-0.004,18.0
69,-2.9862e-05,-0.004,18.0
70,-2.9860000000000002e-05,-0.006,18.0
71,-2.9858e-05,-0.004,18.0
72,-2.9856e-05,-0.004,18.0
73,-2.9854e-05,-0.004,17.6
74,-2.9852e-05,-0.004,18.0
75,-2.985e-05,-0.004,17.6
76,-2.9848e-05,-0.004,17.6
77,-2.9846000000000002e-05,-0.004,17.6
78,-2.9844e-05,-0.004,17.6
79,-2.9842e-05,-0.004,17.6
80,-2.9840000000000002e-05,-0.004,17.6
81,-2.9838e-05,-0.004,17.6
82,-2.9836e-05,-0.006,17.6
83,-2.9834e-05,-0.006,17.4
84,-2.9832e-05,-0.004,17.6
85,-2.983e-05,-0.004,17.6
86,-2.9828e-05,-0.004,17.6
87,-2.9826000000000002e-05,-0.004,17.4
88,-2.9824e-05,-0.006,17.6
89,-2.9822e-05,-0.002,17.6
90,-2.982e-05,-0.006,17.4
91,-2.9818e-05,-0.004,17.4
92,-2.9816e-05,-0.004,17.4
93,-2.9814e-05,-0.004,17.4
