,X,CH1,CH2,I
0,-1.96e-05,-0.105,33.1,
1,-1.9597999999999998e-05,-0.085,31.3,
2,-1.9596e-05,-0.061,29.5,
3,-1.9594e-05,-0.041,28.1,
4,-1.9591999999999998e-05,-0.021,26.5,
5,-1.9589999999999997e-05,0.001,24.7,
6,-1.9588e-05,0.021,22.9,
7,-1.9586e-05,0.043,21.5,
8,-1.9583999999999997e-05,0.057,20.3,
9,-1.9582e-05,0.075,18.9,-0.23200000000000004
10,-1.958e-05,0.089,17.9,0.15599999999999994
11,-1.9577999999999998e-05,0.103,17.3,0.5319999999999998
12,-1.9576e-05,0.107,16.3,0.8679999999999998
13,-1.9574e-05,0.117,15.9,1.1839999999999997
14,-1.9571999999999998e-05,0.121,15.5,1.4679999999999997
15,-1.9569999999999997e-05,0.127,15.3,1.72
16,-1.9568e-05,0.125,15.3,1.9279999999999997
17,-1.9566e-05,0.123,15.1,2.088
18,-1.9563999999999998e-05,0.121,15.5,2.2159999999999997
19,-1.9562e-05,0.117,15.7,2.3
20,-1.956e-05,0.103,16.3,2.328
21,-1.9557999999999998e-05,0.093,16.9,2.308
22,-1.9555999999999997e-05,0.077,17.7,2.248
23,-1.9554e-05,0.065,18.7,2.1439999999999997
24,-1.9552e-05,0.045,19.7,1.9919999999999998
25,-1.9549999999999997e-05,0.029,20.9,1.7959999999999998
26,-1.9548e-05,0.009,22.1,1.5639999999999998
27,-1.9546e-05,-0.011,23.7,1.2959999999999998
28,-1.9543999999999998e-05,-0.035,25.1,0.984
29,-1.9542e-05,-0.053,26.5,0.6439999999999999
30,-1.954e-05,-0.069,27.9,0.29999999999999993
31,-1.9537999999999998e-05,-0.089,29.5,-0.06400000000000006
32,-1.9535999999999997e-05,-0.103,30.7,-0.42400000000000004
33,-1.9534e-05,-0.115,31.5,-0.784
34,-1.9532e-05,-0.121,32.5,-1.116
35,-1.9529999999999998e-05,-0.131,33.3,-1.436
36,-1.9528e-05,-0.135,33.9,-1.7240000000000002
37,-1.9526e-05,-0.131,33.9,-1.964
38,-1.9523999999999998e-05,-0.127,33.7,-2.1479999999999997
39,-1.9521999999999997e-05,-0.123,33.5,-2.288
40,-1.952e-05,-0.115,33.1,-2.38
41,-1.9518e-05,-0.097,31.9,-2.396
42,-1.9515999999999997e-05,-0.083,30.9,-2.3560000000000003
43,-1.9514e-05,-0.071,30.1,-2.268
44,-1.9512e-05,-0.053,28.5,-2.132
45,-1.9509999999999998e-05,-0.035,27.3,-1.9400000000000002
46,-1.9508e-05,-0.015,25.9,-1.7
47,-1.9506e-05,0.001,24.5,-1.436
48,-1.9503999999999998e-05,0.015,23.5,-1.152
49,-1.9501999999999997e-05,0.033,22.1,-0.8400000000000001
50,-1.95e-05,0.047,21.1,-0.5159999999999999
51,-1.9498e-05,0.063,19.9,-0.196
52,-1.9495999999999998e-05,0.071,19.1,0.11199999999999996
53,-1.9494e-05,0.081,18.5,0.4159999999999999
54,-1.9492e-05,0.087,17.9,0.6959999999999998
55,-1.9489999999999998e-05,0.097,17.5,0.9599999999999997
56,-1.9487999999999997e-05,0.097,17.3,1.184
57,-1.9486e-05,0.101,16.7,1.384
58,-1.9484e-05,0.099,16.7,1.552
59,-1.9481999999999997e-05,0.099,16.7,1.684
60,-1.948e-05,0.093,16.9,1.7759999999999998
61,-1.9478e-05,0.089,17.5,1.8279999999999998
62,-1.9475999999999998e-05,0.081,17.9,1.848
63,-1.9474e-05,0.075,18.5,1.8359999999999999
64,-1.9472e-05,0.059,19.1,1.78
