,X,CH2
0,3.964e-05,-0.000174
1,3.9641e-05,0.8
2,3.9642e-05,-0.000174
3,3.9643e-05,0.8
4,3.9644e-05,-0.000174
5,3.9645e-05,0.8
6,3.9646e-05,0.8
7,3.9647e-05,0.8
8,3.9648e-05,-0.000174
9,3.9649e-05,0.8
10,3.965e-05,-0.000174
11,3.9651e-05,0.8
12,3.9652e-05,-0.000174
13,3.9653e-05,0.8
14,3.9654e-05,0.8
15,3.9655e-05,0.8
16,3.9656e-05,-0.000174
17,3.9656999999999997e-05,0.8
18,3.9658e-05,-0.000174
19,3.9659e-05,0.8
20,3.966e-05,-0.000174
21,3.9661e-05,0.8
22,3.9662e-05,0.8
23,3.9663e-05,0.8
24,3.9664e-05,-0.000174
25,3.9665e-05,0.8
26,3.9666e-05,0.8
27,3.9667e-05,0.8
28,3.9668e-05,-0.000174
29,3.9669e-05,0.8
30,3.967e-05,0.8
31,3.9671e-05,0.8
32,3.9672e-05,-0.000174
33,3.9673e-05,0.8
34,3.9674e-05,-0.000174
35,3.9675e-05,0.8
36,3.9676e-05,-0.000174
37,3.9677e-05,0.8
38,3.9678e-05,0.8
39,3.9679e-05,0.8
40,3.968e-05,-0.000174
41,3.9681e-05,0.8
42,3.9682e-05,0.8
43,3.9683e-05,0.8
44,3.9684e-05,-0.000174
45,3.9685e-05,0.8
46,3.9686e-05,-0.000174
47,3.9687e-05,0.8
48,3.9688e-05,-0.000174
49,3.9689e-05,0.8
50,3.969e-05,-0.000174
51,3.9690999999999997e-05,0.8
52,3.9692e-05,-0.000174
53,3.9693e-05,0.8
54,3.9694e-05,-0.000174
55,3.9695e-05,0.8
56,3.9696e-05,-0.000174
57,3.9697e-05,0.8
58,3.9698e-05,0.8
59,3.9699e-05,0.8
60,3.97e-05,-0.000174
61,3.9701e-05,0.8
62,3.9702e-05,0.8
63,3.9703e-05,0.8
64,3.9704e-05,-0.000174
65,3.9705e-05,0.8
66,3.9706e-05,-0.000174
67,3.9707e-05,0.8
68,3.9708e-05,-0.000174
69,3.9709e-05,0.8
70,3.971e-05,0.8
71,3.9711e-05,0.8
72,3.9712e-05,-0.000174
73,3.9713e-05,0.8
74,3.9714e-05,-0.000174
75,3.9715e-05,0.8
76,3.9716e-05,-0.000174
77,3.9717e-05,0.8
78,3.9718e-05,0.8
79,3.9719e-05,0.8
80,3.972e-05,-0.000174
81,3.9721e-05,0.8
82,3.9722e-05,-0.000174
83,3.9723e-05,0.8
84,3.9724e-05,-0.000174
85,3.9724999999999997e-05,0.8
86,3.9726e-05,0.8
87,3.9727e-05,0.8
88,3.9728e-05,-0.000174
89,3.9729e-05,0.8
90,3.973e-05,0.8
91,3.9731e-05,0.8
92,3.9732e-05,-0.000174
93,3.9733e-05,0.8
94,3.9734e-05,0.8
95,3.9735e-05,0.8
96,3.9736e-05,-0.000174
97,3.9737e-05,0.8
98,3.9738e-05,-0.000174
99,3.9739e-05,0.8
100,3.974e-05,-0.000174
101,3.9741e-05,0.8
102,3.9742e-05,0.8
103,3.9743e-05,0.8
104,3.9744e-05,-0.000174
105,3.9745e-05,0.8
106,3.9746e-05,0.8
107,3.9747e-05,0.8
108,3.9748e-05,-0.000174
109,3.9749e-05,0.8
110,3.975e-05,0.8
111,3.9751e-05,0.8
112,3.9752e-05,-0.000174
113,3.9753e-05,0.8
114,3.9754e-05,-0.000174
115,3.9755e-05,0.8
116,3.9756e-05,-0.000174
117,3.9757e-05,0.8
118,3.9758e-05,0.8
119,3.9758999999999997e-05,0.8
120,3.976e-05,-0.000174
121,3.9761e-05,0.8
122,3.9762e-05,-0.000174
123,3.9763e-05,0.8
124,3.9764e-05,-0.000174
125,3.9765e-05,0.8
126,3.9766e-05,0.8
127,3.9767e-05,0.8
128,3.9768e-05,-0.000174
129,3.9769e-05,0.8
130,3.977e-05,-0.000174
131,3.9771e-05,0.8
132,3.9772e-05,-0.000174
133,3.9773e-05,0.8
134,3.9774e-05,0.8
135,3.9775e-05,0.8
136,3.9776e-05,-0.000174
137,3.9777e-05,0.8
138,3.9778e-05,0.8
139,3.9779e-05,0.8
140,3.978e-05,-0.000174
141,3.9781e-05,0.8
142,3.9782e-05,0.8
143,3.9783e-05,0.8
144,3.9784e-05,-0.000174
145,3.9785e-05,0.8
146,3.9786e-05,0.8
147,3.9787e-05,0.8
148,3.9788e-05,-0.000174
149,3.9789e-05,0.8
150,3.979e-05,0.8
151,3.9791e-05,0.8
152,3.9792e-05,-0.000174
153,3.9793e-05,0.8
154,3.9794e-05,0.8
155,3.9795e-05,0.8
156,3.9796e-05,-0.000174
157,3.9797e-05,0.8
158,3.9798e-05,0.8
159,3.9799e-05,0.8
160,3.98e-05,-0.000174
161,3.9801e-05,0.8
162,3.9802e-05,0.8
163,3.9803e-05,0.8
164,3.9804e-05,-0.000174
165,3.9805e-05,0.8
166,3.9806e-05,0.8
167,3.9807e-05,0.8
168,3.9808e-05,-0.000174
169,3.9809e-05,0.8
170,3.981e-05,0.8
171,3.9811e-05,0.8
172,3.9812e-05,0.8
173,3.9813e-05,0.8
174,3.9814e-05,0.8
175,3.9815e-05,0.8
176,3.9816e-05,-0.000174
177,3.9817e-05,0.8
178,3.9818e-05,0.8
179,3.9819e-05,0.8
180,3.982e-05,-0.000174
181,3.9821e-05,0.8
182,3.9822e-05,0.8
183,3.9823e-05,0.8
