,X,CH2
0,8.828e-05,29.6
1,8.8281e-05,29.6
2,8.8282e-05,29.6
3,8.828300000000001e-05,29.6
4,8.8284e-05,29.6
5,8.8285e-05,29.6
6,8.8286e-05,29.6
7,8.8287e-05,29.6
8,8.8288e-05,29.6
9,8.828900000000001e-05,29.6
10,8.829e-05,29.6
11,8.8291e-05,29.6
12,8.8292e-05,29.6
13,8.8293e-05,29.6
14,8.8294e-05,29.6
15,8.829500000000001e-05,29.6
16,8.8296e-05,29.6
17,8.8297e-05,29.6
18,8.8298e-05,29.6
19,8.8299e-05,29.6
20,8.83e-05,29.6
21,8.830100000000001e-05,29.6
22,8.8302e-05,29.6
23,8.8303e-05,29.6
24,8.8304e-05,29.6
25,8.8305e-05,29.6
26,8.8306e-05,29.6
27,8.830700000000001e-05,29.6
28,8.8308e-05,29.6
29,8.8309e-05,29.6
30,8.831e-05,29.6
31,8.8311e-05,29.6
32,8.8312e-05,29.6
33,8.8313e-05,29.6
34,8.8314e-05,29.6
35,8.8315e-05,29.6
36,8.8316e-05,29.6
37,8.8317e-05,29.6
38,8.8318e-05,29.6
39,8.8319e-05,29.6
40,8.832000000000001e-05,29.6
41,8.8321e-05,29.6
42,8.8322e-05,29.6
43,8.8323e-05,29.6
44,8.8324e-05,29.6
45,8.8325e-05,29.6
46,8.832600000000001e-05,29.6
47,8.8327e-05,29.6
48,8.8328e-05,29.6
49,8.8329e-05,29.6
50,8.833e-05,29.6
51,8.8331e-05,29.6
52,8.833200000000001e-05,29.6
53,8.8333e-05,29.6
54,8.8334e-05,29.6
55,8.8335e-05,29.6
56,8.8336e-05,29.6
57,8.8337e-05,29.6
58,8.833800000000001e-05,29.6
59,8.8339e-05,29.6
60,8.834e-05,29.6
61,8.8341e-05,29.6
62,8.8342e-05,29.6
63,8.8343e-05,29.6
64,8.8344e-05,29.6
65,8.8345e-05,29.6
66,8.8346e-05,29.6
67,8.8347e-05,29.6
68,8.8348e-05,29.6
69,8.8349e-05,29.6
70,8.835e-05,29.6
71,8.835100000000001e-05,29.6
72,8.8352e-05,29.6
73,8.8353e-05,29.6
74,8.8354e-05,29.6
75,8.8355e-05,29.6
76,8.8356e-05,29.6
77,8.835700000000001e-05,29.6
78,8.8358e-05,29.6
79,8.8359e-05,29.6
80,8.836e-05,29.6
81,8.8361e-05,29.6
82,8.8362e-05,29.6
83,8.836300000000001e-05,29.6
84,8.8364e-05,29.6
85,8.8365e-05,29.6
86,8.8366e-05,29.6
87,8.8367e-05,29.6
88,8.8368e-05,29.6
89,8.836900000000001e-05,29.6
90,8.837e-05,29.6
91,8.8371e-05,29.6
92,8.8372e-05,29.6
93,8.8373e-05,29.6
94,8.8374e-05,29.6
95,8.837500000000001e-05,29.6
96,8.8376e-05,29.6
97,8.8377e-05,29.6
98,8.8378e-05,29.6
99,8.8379e-05,29.6
100,8.838e-05,29.6
101,8.8381e-05,29.6
102,8.8382e-05,29.6
103,8.8383e-05,29.6
104,8.8384e-05,29.6
105,8.8385e-05,29.6
106,8.8386e-05,29.6
107,8.8387e-05,29.6
108,8.838800000000001e-05,29.6
109,8.8389e-05,29.6
110,8.839e-05,29.6
111,8.8391e-05,29.6
112,8.8392e-05,29.6
113,8.8393e-05,29.6
114,8.839400000000001e-05,29.6
115,8.8395e-05,29.6
116,8.8396e-05,29.6
117,8.8397e-05,29.6
118,8.8398e-05,29.6
119,8.8399e-05,29.6
120,8.840000000000001e-05,29.6
121,8.8401e-05,29.6
122,8.8402e-05,29.6
123,8.8403e-05,29.6
124,8.8404e-05,29.6
125,8.8405e-05,29.6
126,8.840600000000001e-05,29.6
127,8.8407e-05,29.6
128,8.8408e-05,29.6
129,8.8409e-05,29.6
130,8.841e-05,29.6
131,8.8411e-05,29.6
132,8.8412e-05,29.6
133,8.8413e-05,29.6
134,8.8414e-05,29.6
135,8.8415e-05,29.6
136,8.8416e-05,29.6
137,8.8417e-05,29.6
138,8.8418e-05,29.6
139,8.841900000000001e-05,29.6
140,8.842e-05,29.6
141,8.8421e-05,29.6
142,8.8422e-05,29.6
143,8.8423e-05,29.6
144,8.8424e-05,29.6
145,8.842500000000001e-05,29.6
146,8.8426e-05,29.6
147,8.8427e-05,29.6
148,8.8428e-05,29.6
149,8.8429e-05,29.6
150,8.843e-05,29.6
151,8.843100000000001e-05,29.6
152,8.8432e-05,29.6
153,8.8433e-05,29.6
154,8.8434e-05,29.6
155,8.8435e-05,29.6
156,8.8436e-05,29.6
157,8.843700000000001e-05,29.6
158,8.8438e-05,29.6
159,8.8439e-05,29.6
160,8.844e-05,29.6
161,8.8441e-05,29.6
162,8.8442e-05,29.6
163,8.844300000000001e-05,29.6
164,8.8444e-05,29.6
165,8.8445e-05,29.6
166,8.8446e-05,29.6
167,8.8447e-05,29.6
168,8.8448e-05,29.6
169,8.8449e-05,29.6
170,8.845e-05,29.6
171,8.8451e-05,29.6
172,8.8452e-05,29.6
173,8.8453e-05,29.6
174,8.8454e-05,29.6
175,8.8455e-05,29.6
176,8.845600000000001e-05,29.6
177,8.8457e-05,29.6
178,8.8458e-05,29.6
179,8.8459e-05,29.6
180,8.846e-05,29.6
181,8.8461e-05,29.6
182,8.846200000000001e-05,29.6
183,8.8463e-05,29.6
184,8.8464e-05,29.6
185,8.8465e-05,29.6
186,8.8466e-05,29.6
187,8.8467e-05,29.6
188,8.846800000000001e-05,29.6
189,8.8469e-05,29.6
190,8.847e-05,29.6
191,8.8471e-05,29.6
192,8.8472e-05,29.6
193,8.8473e-05,29.6
194,8.847400000000001e-05,29.6
195,8.8475e-05,29.6
196,8.8476e-05,29.6
197,8.8477e-05,29.6
198,8.8478e-05,29.6
199,8.8479e-05,29.6
200,8.848e-05,29.6
201,8.8481e-05,29.6
202,8.8482e-05,29.6
203,8.8483e-05,29.6
204,8.8484e-05,29.6
205,8.8485e-05,29.6
206,8.8486e-05,29.6
207,8.848700000000001e-05,29.6
208,8.8488e-05,29.6
209,8.8489e-05,29.6
210,8.849e-05,29.6
211,8.8491e-05,29.6
212,8.8492e-05,29.6
213,8.849300000000001e-05,29.6
214,8.8494e-05,29.6
215,8.8495e-05,29.6
216,8.8496e-05,29.6
217,8.8497e-05,29.6
218,8.8498e-05,29.6
219,8.849900000000001e-05,29.6
220,8.85e-05,29.6
221,8.8501e-05,29.6
222,8.8502e-05,29.6
223,8.8503e-05,29.6
224,8.8504e-05,29.6
225,8.850500000000001e-05,29.6
226,8.8506e-05,29.6
227,8.8507e-05,29.6
228,8.8508e-05,29.6
229,8.8509e-05,29.6
230,8.851e-05,29.6
231,8.851100000000001e-05,29.6
232,8.8512e-05,29.6
233,8.8513e-05,29.6
234,8.8514e-05,29.6
235,8.8515e-05,29.6
236,8.8516e-05,29.6
