,X,CH1,CH2,I
0,1.15e-05,-0.016,12.0,-0.32
1,1.1502e-05,-0.008,12.0,-0.16
2,1.1504e-05,-0.008,12.0,-0.16
3,1.1506e-05,-0.008,12.0,-0.16
4,1.1508e-05,-0.008,13.6,-0.16
5,1.151e-05,-0.008,13.6,-0.16
6,1.1512e-05,-0.016,13.6,-0.32
7,1.1514e-05,-0.008,13.6,-0.16
8,1.1516e-05,-0.008,13.6,-0.16
9,1.1518e-05,-0.008,13.6,-0.16
10,1.152e-05,-0.016,13.6,-0.32
11,1.1522e-05,-0.016,13.6,-0.32
12,1.1524e-05,-0.016,13.6,-0.32
13,1.1526e-05,-0.008,13.6,-0.16
14,1.1528e-05,-0.008,13.6,-0.16
15,1.153e-05,-0.008,14.4,-0.16
16,1.1532e-05,-0.008,14.4,-0.16
17,1.1534e-05,-0.008,14.4,-0.16
18,1.1536e-05,-0.008,14.4,-0.16
19,1.1538e-05,-0.008,14.4,-0.16
20,1.154e-05,-0.008,14.4,-0.16
21,1.1542e-05,-0.008,14.4,-0.16
22,1.1544e-05,-0.016,14.4,-0.32
23,1.1546e-05,-0.008,14.4,-0.16
24,1.1548e-05,-0.008,14.4,-0.16
25,1.155e-05,-0.008,15.2,-0.16
26,1.1552e-05,-0.016,14.4,-0.32
27,1.1554e-05,-0.008,15.2,-0.16
28,1.1556e-05,-0.008,15.2,-0.16
29,1.1558e-05,-0.008,15.2,-0.16
30,1.156e-05,-0.008,15.2,-0.16
31,1.1562e-05,-0.008,15.2,-0.16
32,1.1564e-05,-0.008,15.2,-0.16
33,1.1566e-05,-0.008,16.0,-0.16
34,1.1568e-05,-0.016,15.2,-0.32
35,1.157e-05,-0.016,16.0,-0.32
36,1.1572e-05,-0.008,16.0,-0.16
37,1.1574e-05,-0.008,16.0,-0.16
38,1.1576e-05,-0.008,16.0,-0.16
39,1.1578e-05,-0.008,16.0,-0.16
40,1.158e-05,-0.008,16.0,-0.16
41,1.1582e-05,-0.008,16.8,-0.16
42,1.1584e-05,-0.008,16.0,-0.16
43,1.1586e-05,-0.008,16.8,-0.16
44,1.1588e-05,-0.008,16.8,-0.16
45,1.159e-05,-0.008,16.8,-0.16
46,1.1592e-05,-0.008,16.8,-0.16
47,1.1594e-05,-0.008,16.8,-0.16
48,1.1596e-05,-0.008,16.8,-0.16
49,1.1598e-05,-0.008,17.6,-0.16
50,1.16e-05,-0.016,16.8,-0.32
51,1.1602e-05,-0.008,17.6,-0.16
52,1.1604e-05,-0.008,17.6,-0.16
53,1.1606e-05,-0.008,17.6,-0.16
54,1.1608e-05,-0.008,17.6,-0.16
55,1.161e-05,-0.016,17.6,-0.32
56,1.1612e-05,-0.008,17.6,-0.16
57,1.1614e-05,-0.008,18.4,-0.16
58,1.1616e-05,-0.008,17.6,-0.16
59,1.1618e-05,-0.008,18.4,-0.16
60,1.162e-05,-0.016,18.4,-0.32
61,1.1622e-05,-0.016,18.4,-0.32
62,1.1624e-05,-0.008,18.4,-0.16
63,1.1626e-05,-0.008,18.4,-0.16
64,1.1628e-05,-0.008,18.4,-0.16
65,1.163e-05,-0.008,18.4,-0.16
66,1.1632e-05,-0.016,19.2,-0.32
67,1.1634e-05,-0.008,19.2,-0.16
68,1.1636e-05,-0.008,19.2,-0.16
69,1.1638e-05,-0.008,19.2,-0.16
70,1.164e-05,-0.008,19.2,-0.16
71,1.1642e-05,-0.008,19.2,-0.16
72,1.1644e-05,-0.008,20.0,-0.16
73,1.1646e-05,-0.008,20.0,-0.16
74,1.1648e-05,-0.016,20.0,-0.32
75,1.165e-05,-0.016,20.0,-0.32
76,1.1652e-05,-0.008,20.0,-0.16
77,1.1654e-05,-0.008,20.0,-0.16
78,1.1656e-05,-0.008,20.0,-0.16
