,X,CH1,CH2
0,5.974e-05,0.344,-0.8
1,5.9742e-05,0.344,-0.000174
2,5.9744e-05,0.336,-0.000174
3,5.9746e-05,0.352,-0.000174
4,5.9748e-05,0.344,-0.000174
5,5.975e-05,0.344,-0.000174
6,5.9752e-05,0.336,-0.000174
7,5.9754e-05,0.352,-0.000174
8,5.9756e-05,0.344,-0.000174
9,5.9758e-05,0.344,1.6
10,5.9760000000000004e-05,0.344,1.6
11,5.9762e-05,0.352,1.6
12,5.9764e-05,0.344,-0.000174
13,5.9766000000000003e-05,0.344,1.6
14,5.9768e-05,0.336,1.6
15,5.977e-05,0.36,1.6
16,5.9772e-05,0.344,1.6
17,5.9774e-05,0.344,1.6
18,5.9776e-05,0.344,1.6
19,5.9778e-05,0.352,2.4
20,5.978e-05,0.344,2.4
21,5.9782e-05,0.344,2.4
22,5.9784e-05,0.344,2.4
23,5.9786e-05,0.352,2.4
24,5.9788e-05,0.344,2.4
25,5.979e-05,0.344,2.4
26,5.9792e-05,0.336,3.2
27,5.9794000000000004e-05,0.352,3.2
28,5.9796e-05,0.344,3.2
29,5.9798e-05,0.344,3.2
30,5.9800000000000003e-05,0.344,3.2
31,5.9802e-05,0.352,3.2
32,5.9804e-05,0.344,3.2
33,5.9806e-05,0.344,4.0
34,5.9808e-05,0.336,4.0
35,5.981e-05,0.36,4.0
36,5.9812e-05,0.344,4.0
37,5.9814e-05,0.344,4.8
38,5.9816e-05,0.344,4.0
39,5.9818e-05,0.352,4.8
40,5.982e-05,0.344,4.8
41,5.9822e-05,0.352,4.8
42,5.9824e-05,0.336,5.6
43,5.9826e-05,0.36,4.8
44,5.9828000000000004e-05,0.344,4.8
45,5.983e-05,0.344,5.6
46,5.9832e-05,0.344,5.6
47,5.9834000000000003e-05,0.352,5.6
48,5.9836e-05,0.344,5.6
49,5.9838e-05,0.344,6.4
50,5.984e-05,0.344,6.4
51,5.9842e-05,0.352,6.4
52,5.9844e-05,0.344,7.2
53,5.9846e-05,0.344,8.0
54,5.9848e-05,0.336,8.0
55,5.985e-05,0.352,8.8
56,5.9852e-05,0.336,8.8
57,5.9854e-05,0.336,9.6
58,5.9856e-05,0.336,11.2
59,5.9858e-05,0.344,12.0
60,5.986e-05,0.328,13.6
61,5.9862000000000004e-05,0.328,15.2
62,5.9864e-05,0.32,16.8
63,5.9866e-05,0.336,18.4
64,5.9868000000000003e-05,0.312,20.8
65,5.987e-05,0.312,23.2
66,5.9872e-05,0.296,27.2
67,5.9874e-05,0.304,30.4
68,5.9876e-05,0.28,33.6
69,5.9878e-05,0.272,37.6
70,5.988e-05,0.256,41.6
71,5.9882e-05,0.24,45.6
72,5.9884e-05,0.2,50.4
73,5.9886e-05,0.136,53.6
74,5.9888e-05,0.056,57.6
75,5.989e-05,0.008,61.6
76,5.9892e-05,-0.056,64.8
77,5.9894e-05,-0.128,68.0
78,5.9896000000000004e-05,-0.192,71.2
79,5.9898e-05,-0.248,74.4
80,5.99e-05,-0.312,76.8
81,5.9902000000000003e-05,-0.376,78.4
82,5.9904e-05,-0.424,80.0
83,5.9906e-05,-0.496,81.6
84,5.9908e-05,-0.536,83.2
85,5.991e-05,-0.576,84.0
86,5.9912e-05,-0.616,83.2
87,5.9914e-05,-0.656,83.2
88,5.9916e-05,-0.68,83.2
89,5.9918e-05,-0.704,80.8
90,5.992e-05,-0.704,78.4
91,5.9922e-05,-0.712,75.2
92,5.9924e-05,-0.696,69.6
93,5.9926e-05,-0.656,64.8
94,5.9928e-05,-0.608,57.6
95,5.9930000000000004e-05,-0.56,50.4
96,5.9932e-05,-0.496,43.2
97,5.9934e-05,-0.416,36.0
98,5.9936000000000003e-05,-0.344,30.4
99,5.9938e-05,-0.256,24.0
100,5.994e-05,-0.176,20.0
101,5.9942e-05,-0.088,16.8
102,5.9944e-05,-0.024,14.4
103,5.9946e-05,0.048,12.0
104,5.9948e-05,0.104,10.4
105,5.995e-05,0.16,9.6
106,5.9952e-05,0.192,8.8
107,5.9954e-05,0.24,8.8
108,5.9956e-05,0.264,8.0
109,5.9958e-05,0.288,8.8
110,5.996e-05,0.296,8.8
111,5.9962e-05,0.32,9.6
112,5.9964000000000004e-05,0.32,9.6
113,5.9966e-05,0.328,11.2
114,5.9968e-05,0.312,13.6
115,5.9970000000000004e-05,0.32,16.0
116,5.9972e-05,0.296,18.4
117,5.9974e-05,0.28,21.6
118,5.9976e-05,0.24,25.6
119,5.9978e-05,0.208,30.4
120,5.998e-05,0.152,35.2
121,5.9982e-05,0.096,40.8
122,5.9984e-05,0.024,46.4
123,5.9986e-05,-0.032,52.8
124,5.9988e-05,-0.112,57.6
125,5.999e-05,-0.192,62.4
126,5.9992e-05,-0.256,64.8
127,5.9994e-05,-0.328,66.4
128,5.9996e-05,-0.384,67.2
129,5.9998000000000004e-05,-0.424,65.6
130,6e-05,-0.448,63.2
131,6.0002e-05,-0.472,59.2
132,6.0004000000000004e-05,-0.464,55.2
133,6.0006e-05,-0.448,49.6
134,6.0008e-05,-0.408,44.0
135,6.001e-05,-0.368,39.2
136,6.0012e-05,-0.312,32.8
137,6.0014e-05,-0.248,28.8
138,6.0016e-05,-0.184,24.0
139,6.0018e-05,-0.112,20.8
140,6.002e-05,-0.056,18.4
141,6.0022e-05,0.0,16.0
142,6.0024e-05,0.048,14.4
143,6.0026e-05,0.112,13.6
144,6.0028e-05,0.144,11.2
145,6.003e-05,0.184,11.2
146,6.0032000000000004e-05,0.208,11.2
147,6.0034e-05,0.24,10.4
148,6.0036e-05,0.256,11.2
149,6.0038000000000004e-05,0.272,12.0
150,6.004e-05,0.272,13.6
151,6.0042e-05,0.288,14.4
152,6.0044e-05,0.28,15.2
153,6.0046e-05,0.272,17.6
154,6.0048e-05,0.256,20.0
155,6.005e-05,0.24,22.4
156,6.0052e-05,0.208,26.4
157,6.0054e-05,0.176,29.6
158,6.0056e-05,0.136,33.6
159,6.0058e-05,0.104,38.4
160,6.006e-05,0.032,43.2
161,6.0062e-05,-0.024,47.2
162,6.0064e-05,-0.08,51.2
163,6.0066000000000004e-05,-0.144,55.2
164,6.0068e-05,-0.2,57.6
165,6.007e-05,-0.248,59.2
166,6.0072000000000004e-05,-0.296,59.2
167,6.0074e-05,-0.336,58.4
168,6.0076e-05,-0.36,57.6
169,6.0078e-05,-0.376,54.4
170,6.008e-05,-0.376,52.0
171,6.0082e-05,-0.368,47.2
172,6.0084e-05,-0.344,43.2
173,6.0086e-05,-0.312,39.2
174,6.0088e-05,-0.264,34.4
175,6.009e-05,-0.216,30.4
176,6.0092e-05,-0.168,27.2
177,6.0094e-05,-0.112,23.2
178,6.0096e-05,-0.064,20.8
179,6.0098e-05,-0.008,19.2
180,6.0100000000000004e-05,0.032,17.6
181,6.0102e-05,0.08,16.0
182,6.0104e-05,0.112,15.2
183,6.0106000000000004e-05,0.152,14.4
184,6.0108e-05,0.168,14.4
185,6.011e-05,0.192,14.4
