,X,CH1,CH2
0,6.795e-05,0.0,31.2
1,6.7952e-05,-0.008,31.2
2,6.7954e-05,0.0,31.2
3,6.7956e-05,-0.008,31.2
4,6.7958e-05,0.0,31.2
5,6.795999999999999e-05,-0.008,31.2
6,6.7962e-05,0.0,31.2
7,6.7964e-05,0.0,31.2
8,6.796599999999999e-05,-0.008,31.2
9,6.7968e-05,-0.008,31.2
10,6.797e-05,0.0,31.2
11,6.797199999999999e-05,-0.008,31.2
12,6.7974e-05,0.0,31.2
13,6.7976e-05,-0.008,31.2
14,6.797799999999999e-05,0.0,31.2
15,6.798e-05,-0.008,31.2
16,6.7982e-05,-0.008,31.2
17,6.798399999999999e-05,0.0,31.2
18,6.7986e-05,0.0,31.2
19,6.7988e-05,-0.008,31.2
20,6.799e-05,-0.008,31.2
21,6.7992e-05,-0.008,31.2
22,6.7994e-05,0.0,31.2
23,6.7996e-05,-0.008,31.2
24,6.7998e-05,0.0,31.2
25,6.8e-05,-0.008,31.2
26,6.8002e-05,0.0,31.2
27,6.8004e-05,-0.008,31.2
28,6.8006e-05,0.0,31.2
29,6.8008e-05,-0.008,31.2
30,6.801e-05,0.0,31.2
31,6.8012e-05,-0.008,31.2
32,6.8014e-05,-0.008,31.2
33,6.8016e-05,-0.008,31.2
34,6.8018e-05,0.0,31.2
35,6.802e-05,-0.008,31.2
36,6.8022e-05,-0.008,31.2
37,6.8024e-05,-0.008,31.2
38,6.8026e-05,0.0,31.2
39,6.802799999999999e-05,0.0,31.2
40,6.803e-05,0.0,31.2
41,6.8032e-05,-0.008,31.2
42,6.803399999999999e-05,0.0,31.2
43,6.8036e-05,-0.008,31.2
44,6.8038e-05,-0.008,31.2
45,6.803999999999999e-05,-0.008,31.2
46,6.8042e-05,0.0,31.2
47,6.8044e-05,0.0,31.2
48,6.804599999999999e-05,-0.008,31.2
49,6.8048e-05,-0.008,31.2
50,6.805e-05,0.0,31.2
51,6.805199999999999e-05,-0.008,31.2
52,6.8054e-05,-0.008,31.2
53,6.8056e-05,-0.008,31.2
54,6.8058e-05,0.0,31.2
55,6.806e-05,0.0,31.2
56,6.8062e-05,-0.008,31.2
57,6.8064e-05,-0.008,31.2
58,6.8066e-05,0.0,31.2
59,6.8068e-05,-0.008,31.2
60,6.807e-05,-0.008,31.2
61,6.8072e-05,-0.008,31.2
62,6.8074e-05,0.0,31.2
63,6.8076e-05,-0.008,31.2
64,6.8078e-05,-0.008,31.2
65,6.808e-05,-0.008,31.2
66,6.8082e-05,0.0,31.2
67,6.8084e-05,-0.008,31.2
68,6.8086e-05,0.0,31.2
69,6.8088e-05,-0.008,31.2
70,6.809e-05,0.0,31.2
71,6.8092e-05,-0.008,31.2
72,6.8094e-05,-0.008,31.2
73,6.809599999999999e-05,-0.008,31.2
74,6.8098e-05,0.0,31.2
75,6.81e-05,-0.008,31.2
76,6.810199999999999e-05,-0.008,31.2
77,6.8104e-05,-0.008,31.2
78,6.8106e-05,0.0,31.2
79,6.810799999999999e-05,0.0,31.2
80,6.811e-05,-0.008,31.2
81,6.8112e-05,-0.008,31.2
82,6.811399999999999e-05,0.0,31.2
83,6.8116e-05,-0.008,31.2
84,6.8118e-05,-0.008,31.2
85,6.811999999999999e-05,-0.008,31.2
86,6.8122e-05,0.0,31.2
87,6.8124e-05,0.0,31.2
88,6.8126e-05,0.0,31.2
89,6.8128e-05,-0.008,31.2
90,6.813e-05,0.0,31.2
91,6.8132e-05,-0.008,31.2
92,6.8134e-05,-0.008,31.2
93,6.8136e-05,-0.008,31.2
94,6.8138e-05,0.0,31.2
95,6.814e-05,-0.008,31.2
96,6.8142e-05,-0.008,31.2
97,6.8144e-05,-0.008,31.2
98,6.8146e-05,0.0,31.2
99,6.8148e-05,-0.008,31.2
100,6.815e-05,-0.008,31.2
101,6.8152e-05,-0.008,31.2
102,6.8154e-05,0.0,31.2
103,6.8156e-05,-0.008,31.2
104,6.8158e-05,0.0,31.2
105,6.816e-05,-0.008,31.2
106,6.8162e-05,0.0,31.2
107,6.816399999999999e-05,-0.008,31.2
108,6.8166e-05,0.0,31.2
109,6.8168e-05,-0.008,31.2
110,6.816999999999999e-05,0.0,31.2
111,6.8172e-05,-0.008,31.2
112,6.8174e-05,0.0,31.2
113,6.817599999999999e-05,-0.008,31.2
114,6.8178e-05,0.0,31.2
115,6.818e-05,-0.008,31.2
116,6.818199999999999e-05,-0.008,31.2
117,6.8184e-05,-0.008,31.2
118,6.8186e-05,0.0,31.2
119,6.818799999999999e-05,0.0,31.2
120,6.819e-05,0.0,31.2
121,6.8192e-05,-0.008,31.2
122,6.8194e-05,0.0,31.2
123,6.8196e-05,-0.008,31.2
124,6.8198e-05,0.0,31.2
125,6.82e-05,-0.008,31.2
126,6.8202e-05,0.0,31.2
127,6.8204e-05,-0.008,31.2
128,6.8206e-05,0.0,31.2
129,6.8208e-05,-0.008,31.2
130,6.821e-05,0.0,31.2
131,6.8212e-05,-0.008,31.2
132,6.8214e-05,-0.008,31.2
133,6.8216e-05,-0.008,31.2
134,6.8218e-05,0.0,31.2
135,6.822e-05,-0.008,31.2
136,6.8222e-05,0.0,31.2
137,6.8224e-05,-0.008,31.2
138,6.8226e-05,0.0,31.2
139,6.8228e-05,-0.008,31.2
140,6.823e-05,-0.008,31.2
141,6.823199999999999e-05,-0.008,31.2
142,6.8234e-05,0.0,31.2
143,6.8236e-05,-0.008,31.2
144,6.823799999999999e-05,0.0,31.2
145,6.824e-05,-0.008,31.2
146,6.8242e-05,0.0,31.2
147,6.824399999999999e-05,-0.008,31.2
148,6.8246e-05,-0.008,31.2
149,6.8248e-05,-0.008,31.2
150,6.824999999999999e-05,0.0,31.2
151,6.8252e-05,-0.008,31.2
152,6.8254e-05,-0.008,31.2
153,6.825599999999999e-05,-0.008,31.2
154,6.8258e-05,0.0,31.2
155,6.826e-05,-0.008,31.2
156,6.8262e-05,-0.008,31.2
157,6.8264e-05,-0.008,31.2
158,6.8266e-05,0.0,31.2
159,6.8268e-05,-0.008,31.2
160,6.827e-05,-0.008,31.2
161,6.8272e-05,-0.008,31.2
162,6.8274e-05,0.0,31.2
163,6.8276e-05,-0.008,31.2
164,6.8278e-05,-0.008,31.2
165,6.828e-05,-0.008,31.2
166,6.8282e-05,0.0,31.2
167,6.8284e-05,0.0,31.2
168,6.8286e-05,-0.008,31.2
169,6.8288e-05,-0.008,31.2
170,6.829e-05,0.0,31.2
171,6.8292e-05,-0.008,31.2
172,6.8294e-05,-0.008,31.2
173,6.8296e-05,-0.008,31.2
174,6.8298e-05,0.0,31.2
175,6.829999999999999e-05,0.0,31.2
176,6.8302e-05,-0.008,31.2
177,6.8304e-05,-0.008,31.2
178,6.830599999999999e-05,0.0,31.2
179,6.8308e-05,-0.008,31.2
180,6.831e-05,0.0,31.2
181,6.831199999999999e-05,-0.008,31.2
182,6.8314e-05,0.0,31.2
183,6.8316e-05,-0.008,31.2
184,6.831799999999999e-05,0.0,31.2
185,6.832e-05,-0.008,31.2
186,6.8322e-05,0.0,31.2
187,6.832399999999999e-05,-0.008,30.4
188,6.8326e-05,-0.008,31.2
189,6.8328e-05,-0.008,31.2
190,6.833e-05,0.0,31.2
191,6.8332e-05,-0.008,31.2
192,6.8334e-05,0.0,31.2
193,6.8336e-05,-0.008,31.2
194,6.8338e-05,0.0,31.2
195,6.834e-05,-0.008,31.2
196,6.8342e-05,-0.008,31.2
197,6.8344e-05,-0.008,31.2
198,6.8346e-05,0.0,31.2
199,6.8348e-05,-0.008,31.2
200,6.835e-05,0.0,31.2
201,6.8352e-05,-0.008,31.2
202,6.8354e-05,0.0,31.2
203,6.8356e-05,-0.008,30.4
204,6.8358e-05,-0.008,31.2
205,6.836e-05,-0.008,31.2
206,6.8362e-05,0.0,31.2
207,6.8364e-05,0.0,31.2
208,6.8366e-05,0.0,31.2
209,6.8368e-05,-0.008,31.2
210,6.837e-05,0.0,31.2
211,6.8372e-05,-0.008,31.2
212,6.837399999999999e-05,-0.008,31.2
213,6.8376e-05,-0.008,31.2
214,6.8378e-05,0.0,31.2
215,6.837999999999999e-05,-0.008,31.2
216,6.8382e-05,-0.008,31.2
217,6.8384e-05,-0.008,31.2
218,6.838599999999999e-05,0.0,31.2
219,6.8388e-05,-0.008,31.2
220,6.839e-05,0.0,31.2
221,6.839199999999999e-05,-0.008,31.2
222,6.8394e-05,0.0,31.2
223,6.8396e-05,-0.008,31.2
224,6.8398e-05,-0.008,31.2
225,6.84e-05,-0.008,31.2
226,6.8402e-05,0.0,31.2
227,6.8404e-05,-0.008,31.2
228,6.8406e-05,-0.008,31.2
229,6.8408e-05,-0.008,31.2
230,6.841e-05,0.0,31.2
231,6.8412e-05,-0.008,31.2
232,6.8414e-05,-0.008,31.2
233,6.8416e-05,-0.008,31.2
234,6.8418e-05,0.0,31.2
235,6.842e-05,-0.008,30.4
236,6.8422e-05,-0.008,31.2
237,6.8424e-05,-0.008,31.2
238,6.8426e-05,0.0,31.2
239,6.8428e-05,-0.008,30.4
240,6.843e-05,-0.008,31.2
241,6.8432e-05,-0.008,31.2
242,6.8434e-05,0.0,31.2
243,6.8436e-05,-0.008,31.2
244,6.8438e-05,0.0,31.2
245,6.844e-05,-0.008,31.2
246,6.844199999999999e-05,0.0,31.2
247,6.8444e-05,0.0,31.2
248,6.8446e-05,-0.008,31.2
249,6.844799999999999e-05,-0.008,31.2
250,6.845e-05,0.0,31.2
251,6.8452e-05,-0.008,31.2
