,X,CH1,CH2
0,5.9838e-05,0.344,1.6
1,5.9839999999999996e-05,0.344,2.4
2,5.9842e-05,0.344,2.4
3,5.9844e-05,0.352,2.4
4,5.9845999999999996e-05,0.344,2.4
5,5.9848e-05,0.344,2.4
6,5.985e-05,0.344,3.2
7,5.9851999999999995e-05,0.36,3.2
8,5.9854e-05,0.344,3.2
9,5.9856e-05,0.344,3.2
10,5.9858e-05,0.344,3.2
11,5.986e-05,0.352,3.2
12,5.9862e-05,0.344,3.2
13,5.9864e-05,0.344,4.0
14,5.9866e-05,0.344,4.0
15,5.9868e-05,0.36,4.0
16,5.987e-05,0.344,4.0
17,5.9872e-05,0.352,4.0
18,5.9873999999999996e-05,0.344,4.8
19,5.9876e-05,0.352,4.8
20,5.9878e-05,0.344,4.0
21,5.9879999999999996e-05,0.344,4.8
22,5.9882e-05,0.344,4.8
23,5.9884e-05,0.352,4.8
24,5.9885999999999995e-05,0.344,4.8
25,5.9888e-05,0.344,5.6
26,5.989e-05,0.336,5.6
27,5.9892e-05,0.352,5.6
28,5.9894e-05,0.344,5.6
29,5.9896e-05,0.344,6.4
30,5.9898e-05,0.344,5.6
31,5.99e-05,0.352,6.4
32,5.9902e-05,0.344,6.4
33,5.9904e-05,0.344,7.2
34,5.9906e-05,0.336,8.0
35,5.9907999999999996e-05,0.344,8.0
36,5.991e-05,0.328,8.8
37,5.9912e-05,0.328,8.8
38,5.9913999999999996e-05,0.32,10.4
39,5.9916e-05,0.336,11.2
40,5.9918e-05,0.32,12.0
41,5.9919999999999996e-05,0.32,13.6
42,5.9922e-05,0.304,15.2
43,5.9924e-05,0.312,16.8
44,5.9926e-05,0.288,18.4
45,5.9928e-05,0.28,20.8
46,5.993e-05,0.264,24.0
47,5.9932e-05,0.264,27.2
48,5.9934e-05,0.232,30.4
49,5.9936e-05,0.216,33.6
50,5.9938e-05,0.192,38.4
51,5.994e-05,0.184,41.6
52,5.9941999999999996e-05,0.152,45.6
53,5.9944e-05,0.112,49.6
54,5.9946e-05,0.04,53.6
55,5.9947999999999996e-05,-0.008,56.8
56,5.995e-05,-0.064,60.0
57,5.9952e-05,-0.128,64.0
58,5.9953999999999996e-05,-0.192,67.2
59,5.9956e-05,-0.248,69.6
60,5.9958e-05,-0.296,73.6
61,5.996e-05,-0.36,75.2
62,5.9962e-05,-0.408,77.6
63,5.9964e-05,-0.456,79.2
64,5.9966e-05,-0.504,80.8
65,5.9968e-05,-0.544,81.6
66,5.997e-05,-0.568,81.6
67,5.9972e-05,-0.608,82.4
68,5.9974e-05,-0.624,82.4
69,5.9975999999999996e-05,-0.632,80.8
70,5.9978e-05,-0.632,79.2
71,5.998e-05,-0.624,76.0
72,5.9981999999999996e-05,-0.6,72.0
73,5.9984e-05,-0.568,67.2
74,5.9986e-05,-0.512,62.4
75,5.9987999999999996e-05,-0.448,56.0
76,5.999e-05,-0.376,50.4
77,5.9992e-05,-0.312,44.0
78,5.9994e-05,-0.24,39.2
79,5.9996e-05,-0.176,33.6
80,5.9998e-05,-0.112,29.6
81,6e-05,-0.064,26.4
82,6.0002e-05,-0.016,22.4
83,6.0004e-05,0.032,20.8
84,6.0006e-05,0.072,19.2
85,6.0008e-05,0.104,17.6
86,6.0009999999999996e-05,0.12,16.8
87,6.0012e-05,0.152,16.0
88,6.0014e-05,0.16,15.2
89,6.0015999999999996e-05,0.176,15.2
90,6.0018e-05,0.176,16.0
91,6.002e-05,0.192,16.0
92,6.0021999999999996e-05,0.184,16.8
93,6.0024e-05,0.184,17.6
94,6.0026e-05,0.176,18.4
95,6.0028e-05,0.176,20.0
96,6.003e-05,0.152,21.6
97,6.0032e-05,0.136,23.2
98,6.0034e-05,0.112,26.4
99,6.0036e-05,0.096,28.0
100,6.0038e-05,0.048,30.4
101,6.004e-05,0.024,32.8
102,6.0042e-05,-0.008,35.2
103,6.0043999999999996e-05,-0.04,38.4
104,6.0046e-05,-0.072,40.0
105,6.0048e-05,-0.096,41.6
106,6.0049999999999996e-05,-0.136,43.2
107,6.0052e-05,-0.152,44.0
108,6.0054e-05,-0.168,44.8
109,6.0055999999999996e-05,-0.176,44.8
110,6.0058e-05,-0.184,44.8
111,6.006e-05,-0.184,44.0
112,6.0062e-05,-0.184,43.2
113,6.0064e-05,-0.176,41.6
114,6.0066e-05,-0.16,40.8
115,6.0068e-05,-0.144,39.2
116,6.007e-05,-0.128,37.6
117,6.0072e-05,-0.104,35.2
118,6.0074e-05,-0.088,33.6
119,6.0076e-05,-0.064,32.8
120,6.0077999999999996e-05,-0.048,31.2
121,6.008e-05,-0.032,29.6
122,6.0082e-05,-0.016,28.8
123,6.0083999999999996e-05,0.0,28.0
124,6.0086e-05,0.008,27.2
125,6.0088e-05,0.024,27.2
126,6.0089999999999996e-05,0.032,26.4
127,6.0092e-05,0.048,26.4
128,6.0094e-05,0.048,26.4
129,6.0096e-05,0.048,26.4
130,6.0098e-05,0.048,26.4
131,6.01e-05,0.056,26.4
132,6.0102e-05,0.048,27.2
133,6.0104e-05,0.048,28.0
134,6.0106e-05,0.04,28.0
135,6.0108e-05,0.04,28.8
136,6.011e-05,0.024,29.6
137,6.0111999999999996e-05,0.024,30.4
